pair,model_1,model_2,scenario,condition,episode_idx,correct,final_choice,n_turns,guide_goal_failure,guide_says_leave,no_leave,null_choice,ambiguous_leave,substring_match,prompt_leakage,cascade_leakage,repetitive_loop,max_turns_hit,single_word_seeker,multi_leave,ava_parroting,parenthetical_aside,meta_commentary,tier1_count,tier2_count,tier3_count,any_quality_issue,measurement_suspect
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,toy_bin_rug,shared_deceive,109,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,wallet_desk_drawer,false_help,10,0,desk,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,toy_bin_rug,ignorance_help,110,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,toy_bin_rug,ignorance_deceive,111,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,toy_bin_rug,false_help,112,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,toy_bin_rug,false_deceive,113,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,watch_dresser_nightstand,shared_help,114,0,,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,watch_dresser_nightstand,shared_deceive,115,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,watch_dresser_nightstand,ignorance_help,116,1,nightstand,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,watch_dresser_nightstand,ignorance_deceive,117,0,dresser,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,watch_dresser_nightstand,false_help,118,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,watch_dresser_nightstand,false_deceive,119,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,wallet_desk_drawer,false_deceive,11,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,candle_mantle_table,shared_help,120,0,,16,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,4,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,candle_mantle_table,shared_deceive,121,0,,16,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,7,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,candle_mantle_table,ignorance_help,122,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,candle_mantle_table,ignorance_deceive,123,0,,16,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,candle_mantle_table,false_help,124,0,,16,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,7,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,candle_mantle_table,false_deceive,125,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,fork_drawer_counter,shared_help,126,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,fork_drawer_counter,shared_deceive,127,1,counter,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,fork_drawer_counter,ignorance_help,128,0,,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,fork_drawer_counter,ignorance_deceive,129,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,package_door_porch,shared_help,12,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,fork_drawer_counter,false_help,130,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,fork_drawer_counter,false_deceive,131,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,ticket_pocket_bag,shared_help,132,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,ticket_pocket_bag,shared_deceive,133,0,,16,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,5,0,1,1
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,ticket_pocket_bag,ignorance_help,134,0,,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,ticket_pocket_bag,ignorance_deceive,135,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,ticket_pocket_bag,false_help,136,0,bag,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,ticket_pocket_bag,false_deceive,137,1,pocket,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,map_table_wall,shared_help,138,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,map_table_wall,shared_deceive,139,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,package_door_porch,shared_deceive,13,1,back porch,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,map_table_wall,ignorance_help,140,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,map_table_wall,ignorance_deceive,141,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,map_table_wall,false_help,142,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,map_table_wall,false_deceive,143,0,,16,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,broom_closet_corner,shared_help,144,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,broom_closet_corner,shared_deceive,145,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,broom_closet_corner,ignorance_help,146,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,broom_closet_corner,ignorance_deceive,147,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,broom_closet_corner,false_help,148,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,broom_closet_corner,false_deceive,149,0,,14,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,package_door_porch,ignorance_help,14,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,camera_bag_shelf,shared_help,150,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,camera_bag_shelf,shared_deceive,151,0,,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,camera_bag_shelf,ignorance_help,152,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,camera_bag_shelf,ignorance_deceive,153,0,bag,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,camera_bag_shelf,false_help,154,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,camera_bag_shelf,false_deceive,155,0,,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,brush_drawer_counter,shared_help,156,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,brush_drawer_counter,shared_deceive,157,0,,16,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,brush_drawer_counter,ignorance_help,158,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,brush_drawer_counter,ignorance_deceive,159,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,package_door_porch,ignorance_deceive,15,0,,16,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,5,0,1,1
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,brush_drawer_counter,false_help,160,0,counter,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,brush_drawer_counter,false_deceive,161,0,,16,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,spoon_cup_bowl,shared_help,162,1,bowl,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,spoon_cup_bowl,shared_deceive,163,1,bowl,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,spoon_cup_bowl,ignorance_help,164,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,spoon_cup_bowl,ignorance_deceive,165,1,bowl,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,spoon_cup_bowl,false_help,166,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,spoon_cup_bowl,false_deceive,167,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,badge_desk_hook,shared_help,168,1,desk,8,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,badge_desk_hook,shared_deceive,169,1,desk,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,package_door_porch,false_help,16,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,badge_desk_hook,ignorance_help,170,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,badge_desk_hook,ignorance_deceive,171,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,badge_desk_hook,false_help,172,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,badge_desk_hook,false_deceive,173,0,,16,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,lantern_tent_truck,shared_help,174,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,lantern_tent_truck,shared_deceive,175,0,,16,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,6,0,1,1
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,lantern_tent_truck,ignorance_help,176,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,lantern_tent_truck,ignorance_deceive,177,0,,16,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,5,0,1,1
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,lantern_tent_truck,false_help,178,0,,16,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,lantern_tent_truck,false_deceive,179,0,tent,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,package_door_porch,false_deceive,17,0,front door,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,blanket_bed_chair,shared_help,180,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,blanket_bed_chair,shared_deceive,181,0,,16,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,blanket_bed_chair,ignorance_help,182,0,,11,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0
