model,scenario_idx,n_turns,agreement_type,score_a,score_b,joint_score,parse_failure,implicit_agreement,inconsistent_allocation,zero_value_hoarding,prompt_leakage,repetitive_loop,max_turns_hit,single_word_turns,parenthetical_aside,no_proposal,ultimatum,agent_parroting,meta_commentary,value_revelation,exceeds_available,tier1_count,tier2_count,tier3_count,any_quality_issue,measurement_suspect
DeepSeek-R1-Distill-Llama-8B,6,16,implicit,7,4,11,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,3,0,1,1
DeepSeek-R1-Distill-Llama-8B,70,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,71,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,72,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,73,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,74,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,75,16,implicit,3,10,13,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,76,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,77,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,78,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,79,16,implicit,4,10,14,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,1,1
DeepSeek-R1-Distill-Llama-8B,7,16,implicit,9,4,13,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,80,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,81,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,82,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,83,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,84,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,85,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,86,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4,0,1,0
DeepSeek-R1-Distill-Llama-8B,87,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4,0,1,0
DeepSeek-R1-Distill-Llama-8B,88,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,89,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,1,0
DeepSeek-R1-Distill-Llama-8B,8,16,implicit,8,6,14,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,90,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
DeepSeek-R1-Distill-Llama-8B,91,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,92,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,93,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,94,16,implicit,9,6,15,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,1,1
DeepSeek-R1-Distill-Llama-8B,95,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4,0,1,0
DeepSeek-R1-Distill-Llama-8B,96,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,97,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,98,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,99,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,9,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
Meta-Llama-3-8B-Instruct,0,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,10,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,11,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,12,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,13,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,14,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,15,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,16,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,17,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,18,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,19,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,1,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,20,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,21,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,22,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,1,0
Meta-Llama-3-8B-Instruct,23,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,24,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,25,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,26,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,27,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,28,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,29,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,2,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,30,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,31,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,32,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,33,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,34,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,35,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,36,16,implicit,3,7,10,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,1,1
Meta-Llama-3-8B-Instruct,37,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,3,1,1,0
Meta-Llama-3-8B-Instruct,38,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,39,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,3,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,40,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,41,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,42,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,43,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,44,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,45,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,46,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,47,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,48,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,49,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,4,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,50,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,51,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,52,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,53,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,54,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,55,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,56,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
Meta-Llama-3-8B-Instruct,57,16,implicit,8,0,8,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,1,1
Meta-Llama-3-8B-Instruct,58,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,59,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,5,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
Meta-Llama-3-8B-Instruct,60,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,61,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,62,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,63,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,64,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,65,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,66,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,67,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,68,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,69,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,6,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,70,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,71,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,72,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
Meta-Llama-3-8B-Instruct,73,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
