case_type,model,scenario_idx,n_turns,agreement_type,score_a,score_b,joint_score,alloc_a
value_destroying,Mistral-7B-Instruct-v0.2,86,16,implicit,7,2,9,"{""cornucopia"": 2, ""autumn leaf garland"": 0, ""table runner"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.2,87,2,leave,8,3,11,"{""heart balloon"": 2, ""chocolate box"": 0, ""card set"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.2,88,11,leave,10,4,14,"{""plastic egg pack"": 0, ""basket"": 1, ""stuffed bunny"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.2,89,9,leave,7,0,7,"{""noisemaker"": 1, ""party popper"": 0, ""confetti bag"": 1}"
irrational_acceptance,Mistral-7B-Instruct-v0.2,89,9,leave,7,0,7,"{""noisemaker"": 1, ""party popper"": 0, ""confetti bag"": 1}"
value_destroying,Mistral-7B-Instruct-v0.2,89,9,leave,7,0,7,"{""noisemaker"": 1, ""party popper"": 0, ""confetti bag"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.2,98,16,implicit,6,0,6,"{""ethernet cable"": 1, ""wall plate"": 0, ""cable tie pack"": 1}"
irrational_acceptance,Mistral-7B-Instruct-v0.2,98,16,implicit,6,0,6,"{""ethernet cable"": 1, ""wall plate"": 0, ""cable tie pack"": 1}"
value_destroying,Mistral-7B-Instruct-v0.2,98,16,implicit,6,0,6,"{""ethernet cable"": 1, ""wall plate"": 0, ""cable tie pack"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.2,99,8,leave,10,3,13,"{""filament spool"": 1, ""print bed"": 1, ""nozzle set"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,10,16,implicit,6,8,14,"{""notebook"": 0, ""pen"": 1, ""marker"": 0}"
one_sided_deal,Mistral-7B-Instruct-v0.3,13,2,leave,2,9,11,"{""poster board"": 0, ""marker set"": 1, ""name tag"": 0}"
pareto_dominated,Mistral-7B-Instruct-v0.3,16,15,leave,1,10,11,"{""sticky note pad"": 0, ""paper clip box"": 1, ""pencil cup"": 0}"
one_sided_deal,Mistral-7B-Instruct-v0.3,16,15,leave,1,10,11,"{""sticky note pad"": 0, ""paper clip box"": 1, ""pencil cup"": 0}"
pareto_dominated,Mistral-7B-Instruct-v0.3,19,16,implicit,6,1,7,"{""coffee mug"": 0, ""tea box"": 1, ""sugar jar"": 1}"
value_destroying,Mistral-7B-Instruct-v0.3,19,16,implicit,6,1,7,"{""coffee mug"": 0, ""tea box"": 1, ""sugar jar"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,24,16,implicit,6,0,6,"{""wrap"": 1, ""salad bowl"": 0, ""dessert cup"": 1}"
irrational_acceptance,Mistral-7B-Instruct-v0.3,24,16,implicit,6,0,6,"{""wrap"": 1, ""salad bowl"": 0, ""dessert cup"": 1}"
value_destroying,Mistral-7B-Instruct-v0.3,24,16,implicit,6,0,6,"{""wrap"": 1, ""salad bowl"": 0, ""dessert cup"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,25,9,leave,10,3,13,"{""goodie bag"": 2, ""slice of cake"": 0, ""juice pouch"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,28,3,leave,10,0,10,"{""muffin"": 2, ""yogurt cup"": 2, ""juice carton"": 2}"
one_sided_deal,Mistral-7B-Instruct-v0.3,28,3,leave,10,0,10,"{""muffin"": 2, ""yogurt cup"": 2, ""juice carton"": 2}"
irrational_acceptance,Mistral-7B-Instruct-v0.3,28,3,leave,10,0,10,"{""muffin"": 2, ""yogurt cup"": 2, ""juice carton"": 2}"
pareto_dominated,Mistral-7B-Instruct-v0.3,29,15,leave,10,0,10,"{""jam jar"": 2, ""pickle jar"": 2, ""sauce bottle"": 2}"
one_sided_deal,Mistral-7B-Instruct-v0.3,29,15,leave,10,0,10,"{""jam jar"": 2, ""pickle jar"": 2, ""sauce bottle"": 2}"
irrational_acceptance,Mistral-7B-Instruct-v0.3,29,15,leave,10,0,10,"{""jam jar"": 2, ""pickle jar"": 2, ""sauce bottle"": 2}"
pareto_dominated,Mistral-7B-Instruct-v0.3,31,16,implicit,10,5,15,"{""yarn skein"": 1, ""fabric bolt"": 3, ""button pack"": 0}"
pareto_dominated,Mistral-7B-Instruct-v0.3,32,1,leave,4,5,9,"{""lens filter"": 0, ""memory card"": 1, ""battery pack"": 3}"
value_destroying,Mistral-7B-Instruct-v0.3,32,1,leave,4,5,9,"{""lens filter"": 0, ""memory card"": 1, ""battery pack"": 3}"
pareto_dominated,Mistral-7B-Instruct-v0.3,37,16,leave,1,3,4,"{""wire coil"": 0, ""bead pack"": 1, ""clasp set"": 0}"
value_destroying,Mistral-7B-Instruct-v0.3,37,16,leave,1,3,4,"{""wire coil"": 0, ""bead pack"": 1, ""clasp set"": 0}"
pareto_dominated,Mistral-7B-Instruct-v0.3,3,6,leave,10,6,16,"{""towel"": 1, ""soap bar"": 1, ""lotion bottle"": 0}"
one_sided_deal,Mistral-7B-Instruct-v0.3,46,8,leave,0,10,10,"{""dry bag"": 0, ""paddle grip"": 0, ""life vest"": 0}"
irrational_acceptance,Mistral-7B-Instruct-v0.3,46,8,leave,0,10,10,"{""dry bag"": 0, ""paddle grip"": 0, ""life vest"": 0}"
pareto_dominated,Mistral-7B-Instruct-v0.3,47,5,leave,9,5,14,"{""carabiner"": 2, ""chalk bag"": 0, ""quickdraw"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,48,16,implicit,7,9,16,"{""gel pack"": 3, ""race bib"": 1, ""safety pin set"": 0}"
pareto_dominated,Mistral-7B-Instruct-v0.3,4,8,leave,8,9,17,"{""lamp"": 0, ""shelf"": 1, ""storage bin"": 3}"
pareto_dominated,Mistral-7B-Instruct-v0.3,50,16,implicit,6,6,12,"{""beaker"": 1, ""test tube"": 1, ""petri dish"": 0}"
pareto_dominated,Mistral-7B-Instruct-v0.3,52,5,leave,8,0,8,"{""poster"": 2, ""string light set"": 2, ""throw pillow"": 2}"
one_sided_deal,Mistral-7B-Instruct-v0.3,52,5,leave,8,0,8,"{""poster"": 2, ""string light set"": 2, ""throw pillow"": 2}"
irrational_acceptance,Mistral-7B-Instruct-v0.3,52,5,leave,8,0,8,"{""poster"": 2, ""string light set"": 2, ""throw pillow"": 2}"
value_destroying,Mistral-7B-Instruct-v0.3,52,5,leave,8,0,8,"{""poster"": 2, ""string light set"": 2, ""throw pillow"": 2}"
pareto_dominated,Mistral-7B-Instruct-v0.3,54,16,implicit,4,7,11,"{""sketchpad"": 1, ""charcoal stick"": 0, ""eraser"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,55,4,leave,2,8,10,"{""evidence binder"": 0, ""timer"": 0, ""notepad"": 1}"
one_sided_deal,Mistral-7B-Instruct-v0.3,55,4,leave,2,8,10,"{""evidence binder"": 0, ""timer"": 0, ""notepad"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,5,15,leave,9,8,17,"{""cutting board"": 1, ""mixing bowl"": 0, ""spatula"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,60,12,leave,6,1,7,"{""magnet"": 0, ""postcard"": 1, ""keychain"": 2}"
value_destroying,Mistral-7B-Instruct-v0.3,60,12,leave,6,1,7,"{""magnet"": 0, ""postcard"": 1, ""keychain"": 2}"
one_sided_deal,Mistral-7B-Instruct-v0.3,64,4,leave,2,10,12,"{""snow globe"": 0, ""shot glass"": 0, ""bumper sticker"": 2}"
pareto_dominated,Mistral-7B-Instruct-v0.3,67,6,leave,0,4,4,"{""stamp sheet"": 1, ""first day cover"": 0, ""commemorative set"": 0}"
irrational_acceptance,Mistral-7B-Instruct-v0.3,67,6,leave,0,4,4,"{""stamp sheet"": 1, ""first day cover"": 0, ""commemorative set"": 0}"
value_destroying,Mistral-7B-Instruct-v0.3,67,6,leave,0,4,4,"{""stamp sheet"": 1, ""first day cover"": 0, ""commemorative set"": 0}"
pareto_dominated,Mistral-7B-Instruct-v0.3,68,1,leave,0,4,4,"{""action figure"": 0, ""trading card pack"": 0, ""miniature vehicle"": 2}"
irrational_acceptance,Mistral-7B-Instruct-v0.3,68,1,leave,0,4,4,"{""action figure"": 0, ""trading card pack"": 0, ""miniature vehicle"": 2}"
value_destroying,Mistral-7B-Instruct-v0.3,68,1,leave,0,4,4,"{""action figure"": 0, ""trading card pack"": 0, ""miniature vehicle"": 2}"
pareto_dominated,Mistral-7B-Instruct-v0.3,72,2,leave,4,6,10,"{""cone"": 0, ""bib"": 2, ""training ball"": 2}"
pareto_dominated,Mistral-7B-Instruct-v0.3,80,16,implicit,0,7,7,"{""ornament"": 1, ""garland strand"": 0, ""wreath"": 1}"
irrational_acceptance,Mistral-7B-Instruct-v0.3,80,16,implicit,0,7,7,"{""ornament"": 1, ""garland strand"": 0, ""wreath"": 1}"
value_destroying,Mistral-7B-Instruct-v0.3,80,16,implicit,0,7,7,"{""ornament"": 1, ""garland strand"": 0, ""wreath"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,86,16,implicit,7,2,9,"{""cornucopia"": 2, ""autumn leaf garland"": 0, ""table runner"": 1}"
value_destroying,Mistral-7B-Instruct-v0.3,86,16,implicit,7,2,9,"{""cornucopia"": 2, ""autumn leaf garland"": 0, ""table runner"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,87,16,implicit,7,5,12,"{""heart balloon"": 1, ""chocolate box"": 0, ""card set"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,88,16,implicit,10,4,14,"{""plastic egg pack"": 0, ""basket"": 1, ""stuffed bunny"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,89,5,leave,5,0,5,"{""noisemaker"": 0, ""party popper"": 0, ""confetti bag"": 1}"
irrational_acceptance,Mistral-7B-Instruct-v0.3,89,5,leave,5,0,5,"{""noisemaker"": 0, ""party popper"": 0, ""confetti bag"": 1}"
value_destroying,Mistral-7B-Instruct-v0.3,89,5,leave,5,0,5,"{""noisemaker"": 0, ""party popper"": 0, ""confetti bag"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,8,16,implicit,4,8,12,"{""detergent bottle"": 2, ""dryer sheet box"": 0, ""fabric softener"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,90,9,leave,4,0,4,"{""circuit board"": 2, ""LED strip"": 1, ""sensor module"": 0}"
irrational_acceptance,Mistral-7B-Instruct-v0.3,90,9,leave,4,0,4,"{""circuit board"": 2, ""LED strip"": 1, ""sensor module"": 0}"
value_destroying,Mistral-7B-Instruct-v0.3,90,9,leave,4,0,4,"{""circuit board"": 2, ""LED strip"": 1, ""sensor module"": 0}"
pareto_dominated,Mistral-7B-Instruct-v0.3,92,8,leave,3,8,11,"{""USB hub"": 2, ""mouse pad"": 0, ""cable organizer"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,98,13,leave,6,0,6,"{""ethernet cable"": 1, ""wall plate"": 0, ""cable tie pack"": 1}"
irrational_acceptance,Mistral-7B-Instruct-v0.3,98,13,leave,6,0,6,"{""ethernet cable"": 1, ""wall plate"": 0, ""cable tie pack"": 1}"
value_destroying,Mistral-7B-Instruct-v0.3,98,13,leave,6,0,6,"{""ethernet cable"": 1, ""wall plate"": 0, ""cable tie pack"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.3,9,16,implicit,6,6,12,"{""doormat"": 0, ""key hook"": 2, ""umbrella stand"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,0,4,leave,4,1,5,"{""mug"": 0, ""plate"": 2, ""bowl"": 1}"
value_destroying,Qwen2.5-7B-Instruct,0,4,leave,4,1,5,"{""mug"": 0, ""plate"": 2, ""bowl"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,10,16,implicit,8,8,16,"{""notebook"": 0, ""pen"": 1, ""marker"": 2}"
pareto_dominated,Qwen2.5-7B-Instruct,11,16,implicit,8,8,16,"{""stapler"": 1, ""tape dispenser"": 0, ""folder"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,13,8,leave,0,7,7,"{""poster board"": 3, ""marker set"": 0, ""name tag"": 0}"
irrational_acceptance,Qwen2.5-7B-Instruct,13,8,leave,0,7,7,"{""poster board"": 3, ""marker set"": 0, ""name tag"": 0}"
value_destroying,Qwen2.5-7B-Instruct,13,8,leave,0,7,7,"{""poster board"": 3, ""marker set"": 0, ""name tag"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,15,8,leave,1,3,4,"{""lab notebook"": 3, ""reference binder"": 0, ""USB drive"": 1}"
value_destroying,Qwen2.5-7B-Instruct,15,8,leave,1,3,4,"{""lab notebook"": 3, ""reference binder"": 0, ""USB drive"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,16,11,leave,8,0,8,"{""sticky note pad"": 2, ""paper clip box"": 0, ""pencil cup"": 1}"
one_sided_deal,Qwen2.5-7B-Instruct,16,11,leave,8,0,8,"{""sticky note pad"": 2, ""paper clip box"": 0, ""pencil cup"": 1}"
irrational_acceptance,Qwen2.5-7B-Instruct,16,11,leave,8,0,8,"{""sticky note pad"": 2, ""paper clip box"": 0, ""pencil cup"": 1}"
value_destroying,Qwen2.5-7B-Instruct,16,11,leave,8,0,8,"{""sticky note pad"": 2, ""paper clip box"": 0, ""pencil cup"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,17,10,leave,6,7,13,"{""workbook"": 0, ""lanyard"": 1, ""badge holder"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,18,6,leave,0,6,6,"{""envelope box"": 0, ""stamp roll"": 4, ""packing tape"": 0}"
irrational_acceptance,Qwen2.5-7B-Instruct,18,6,leave,0,6,6,"{""envelope box"": 0, ""stamp roll"": 4, ""packing tape"": 0}"
value_destroying,Qwen2.5-7B-Instruct,18,6,leave,0,6,6,"{""envelope box"": 0, ""stamp roll"": 4, ""packing tape"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,19,10,leave,2,9,11,"{""coffee mug"": 1, ""tea box"": 1, ""sugar jar"": 0}"
one_sided_deal,Qwen2.5-7B-Instruct,19,10,leave,2,9,11,"{""coffee mug"": 1, ""tea box"": 1, ""sugar jar"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,22,16,implicit,9,6,15,"{""balloon pack"": 3, ""streamer roll"": 1, ""party hat"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,23,6,leave,6,9,15,"{""sandwich"": 0, ""juice box"": 0, ""fruit cup"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,24,16,implicit,3,10,13,"{""wrap"": 2, ""salad bowl"": 1, ""dessert cup"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,25,10,leave,10,3,13,"{""goodie bag"": 2, ""slice of cake"": 0, ""juice pouch"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,26,8,leave,2,7,9,"{""burger patty"": 0, ""corn cob"": 1, ""coleslaw cup"": 2}"
value_destroying,Qwen2.5-7B-Instruct,26,8,leave,2,7,9,"{""burger patty"": 0, ""corn cob"": 1, ""coleslaw cup"": 2}"
pareto_dominated,Qwen2.5-7B-Instruct,27,4,leave,2,8,10,"{""water bottle"": 0, ""granola bar"": 0, ""fruit pack"": 2}"
one_sided_deal,Qwen2.5-7B-Instruct,27,4,leave,2,8,10,"{""water bottle"": 0, ""granola bar"": 0, ""fruit pack"": 2}"
pareto_dominated,Qwen2.5-7B-Instruct,28,6,leave,5,8,13,"{""muffin"": 1, ""yogurt cup"": 1, ""juice carton"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,29,16,leave,6,9,15,"{""jam jar"": 1, ""pickle jar"": 0, ""sauce bottle"": 2}"
pareto_dominated,Qwen2.5-7B-Instruct,31,11,leave,10,6,16,"{""yarn skein"": 1, ""fabric bolt"": 0, ""button pack"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,32,16,implicit,6,0,6,"{""lens filter"": 0, ""memory card"": 2, ""battery pack"": 4}"
irrational_acceptance,Qwen2.5-7B-Instruct,32,16,implicit,6,0,6,"{""lens filter"": 0, ""memory card"": 2, ""battery pack"": 4}"
value_destroying,Qwen2.5-7B-Instruct,32,16,implicit,6,0,6,"{""lens filter"": 0, ""memory card"": 2, ""battery pack"": 4}"
pareto_dominated,Qwen2.5-7B-Instruct,33,5,leave,10,4,14,"{""music stand"": 1, ""metronome"": 2, ""tuner"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,38,16,leave,4,8,12,"{""ink bottle"": 1, ""nib set"": 1, ""parchment sheet"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,39,8,leave,0,6,6,"{""paint pot"": 1, ""decal sheet"": 0, ""glue tube"": 0}"
irrational_acceptance,Qwen2.5-7B-Instruct,39,8,leave,0,6,6,"{""paint pot"": 1, ""decal sheet"": 0, ""glue tube"": 0}"
value_destroying,Qwen2.5-7B-Instruct,39,8,leave,0,6,6,"{""paint pot"": 1, ""decal sheet"": 0, ""glue tube"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,3,11,leave,10,6,16,"{""towel"": 1, ""soap bar"": 1, ""lotion bottle"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,40,8,leave,2,5,7,"{""seed packet"": 1, ""pot"": 0, ""bag of soil"": 2}"
value_destroying,Qwen2.5-7B-Instruct,40,8,leave,2,5,7,"{""seed packet"": 1, ""pot"": 0, ""bag of soil"": 2}"
pareto_dominated,Qwen2.5-7B-Instruct,41,13,leave,6,0,6,"{""flashlight"": 2, ""water bottle"": 1, ""energy bar"": 0}"
irrational_acceptance,Qwen2.5-7B-Instruct,41,13,leave,6,0,6,"{""flashlight"": 2, ""water bottle"": 1, ""energy bar"": 0}"
value_destroying,Qwen2.5-7B-Instruct,41,13,leave,6,0,6,"{""flashlight"": 2, ""water bottle"": 1, ""energy bar"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,42,6,leave,2,10,12,"{""lure"": 0, ""bobber"": 2, ""fishing line spool"": 0}"
one_sided_deal,Qwen2.5-7B-Instruct,42,6,leave,2,10,12,"{""lure"": 0, ""bobber"": 2, ""fishing line spool"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,43,16,implicit,10,6,16,"{""tomato"": 1, ""pepper"": 2, ""cucumber"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,44,12,leave,3,10,13,"{""rope bundle"": 0, ""compass"": 3, ""fire starter"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,45,14,leave,5,5,10,"{""binocular strap"": 0, ""field notebook"": 1, ""bird call whistle"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,46,16,implicit,5,7,12,"{""dry bag"": 1, ""paddle grip"": 0, ""life vest"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,47,6,leave,1,5,6,"{""carabiner"": 2, ""chalk bag"": 1, ""quickdraw"": 0}"
value_destroying,Qwen2.5-7B-Instruct,47,6,leave,1,5,6,"{""carabiner"": 2, ""chalk bag"": 1, ""quickdraw"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,48,5,leave,5,1,6,"{""gel pack"": 2, ""race bib"": 0, ""safety pin set"": 1}"
value_destroying,Qwen2.5-7B-Instruct,48,5,leave,5,1,6,"{""gel pack"": 2, ""race bib"": 0, ""safety pin set"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,49,16,implicit,0,6,6,"{""trowel"": 2, ""pruning shear"": 0, ""garden glove pair"": 0}"
irrational_acceptance,Qwen2.5-7B-Instruct,49,16,implicit,0,6,6,"{""trowel"": 2, ""pruning shear"": 0, ""garden glove pair"": 0}"
value_destroying,Qwen2.5-7B-Instruct,49,16,implicit,0,6,6,"{""trowel"": 2, ""pruning shear"": 0, ""garden glove pair"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,4,10,leave,4,1,5,"{""lamp"": 1, ""shelf"": 0, ""storage bin"": 3}"
value_destroying,Qwen2.5-7B-Instruct,4,10,leave,4,1,5,"{""lamp"": 1, ""shelf"": 0, ""storage bin"": 3}"
pareto_dominated,Qwen2.5-7B-Instruct,51,14,leave,1,4,5,"{""highlighter"": 0, ""sticky note pad"": 1, ""index card pack"": 3}"
value_destroying,Qwen2.5-7B-Instruct,51,14,leave,1,4,5,"{""highlighter"": 0, ""sticky note pad"": 1, ""index card pack"": 3}"
pareto_dominated,Qwen2.5-7B-Instruct,52,11,leave,4,8,12,"{""poster"": 0, ""string light set"": 2, ""throw pillow"": 2}"
pareto_dominated,Qwen2.5-7B-Instruct,53,16,implicit,2,2,4,"{""t-shirt"": 1, ""tote bag"": 1, ""sticker sheet"": 0}"
value_destroying,Qwen2.5-7B-Instruct,53,16,implicit,2,2,4,"{""t-shirt"": 1, ""tote bag"": 1, ""sticker sheet"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,54,12,leave,4,7,11,"{""sketchpad"": 1, ""charcoal stick"": 0, ""eraser"": 1}"
pareto_dominated,Qwen2.5-7B-Instruct,56,10,leave,6,3,9,"{""graduated cylinder"": 0, ""pipette"": 3, ""litmus strip pack"": 1}"
value_destroying,Qwen2.5-7B-Instruct,56,10,leave,6,3,9,"{""graduated cylinder"": 0, ""pipette"": 3, ""litmus strip pack"": 1}"
one_sided_deal,Qwen2.5-7B-Instruct,57,8,leave,2,10,12,"{""wig"": 0, ""prop sword"": 2, ""mask"": 0}"
pareto_dominated,Qwen2.5-7B-Instruct,58,7,leave,4,4,8,"{""servo motor"": 0, ""sensor board"": 3, ""gear set"": 1}"
