stage,episode,condition,belief_condition,trust_manipulation,goal_condition,scenario_type,true_location,mia_location,ava_response,ava_choice,b_gold,correct,follows_mia
OLMo-3-1025-7B,1139,asym_A4_malicious,asymmetric_knowledge,malicious,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,113,conflict_A2_unreliable,conflicting_evidence,unreliable,adversarial,binder_shelf_desk,desk,shelf,I think it is on the desk.,desk,desk,1.0,0.0
OLMo-3-1025-7B,1140,asym_B1_forgetting,asymmetric_knowledge,forgetting,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1141,asym_B2_intervening,asymmetric_knowledge,intervening,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1142,asym_B3_poor_vis,asymmetric_knowledge,poor_visibility,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1143,asym_C_cooperate,asymmetric_knowledge,none,cooperate,letter_mailbox_mat,mat,mat,LEAVE.,,mat,,
OLMo-3-1025-7B,1144,conflict_A1_expert,conflicting_evidence,expert,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1145,conflict_A2_unreliable,conflicting_evidence,unreliable,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1146,conflict_A3_incentivized,conflicting_evidence,incentivized,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1147,conflict_A4_malicious,conflicting_evidence,malicious,adversarial,letter_mailbox_mat,mat,mailbox,I think it is on the door mat.,mat,mat,1.0,0.0
OLMo-3-1025-7B,1148,conflict_B1_forgetting,conflicting_evidence,forgetting,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1149,conflict_B2_intervening,conflicting_evidence,intervening,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,114,conflict_A3_incentivized,conflicting_evidence,incentivized,adversarial,binder_shelf_desk,desk,shelf,I think it is on the desk.,desk,desk,1.0,0.0
OLMo-3-1025-7B,1150,conflict_B3_poor_vis,conflicting_evidence,poor_visibility,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1151,conflict_C_cooperate,conflicting_evidence,none,cooperate,letter_mailbox_mat,mat,mat,LEAVE.,,mat,,
OLMo-3-1025-7B,1152,mutual_A1_expert,mutual_knowledge,expert,adversarial,lighter_drawer_pocket,pocket,drawer,LEAVE.,,pocket,,
OLMo-3-1025-7B,1153,mutual_A2_unreliable,mutual_knowledge,unreliable,adversarial,lighter_drawer_pocket,pocket,drawer,LEAVE.,,pocket,,
OLMo-3-1025-7B,1154,mutual_A3_incentivized,mutual_knowledge,incentivized,adversarial,lighter_drawer_pocket,pocket,drawer,LEAVE.,,pocket,,
OLMo-3-1025-7B,1155,mutual_A4_malicious,mutual_knowledge,malicious,adversarial,lighter_drawer_pocket,pocket,drawer,I think it is in the pocket.,pocket,pocket,1.0,0.0
