pattern,episode,item,true_location,other_location,belief,mia_opening,ava_response,final_choice,correct
The X is [prep] Y,46,lens,bag,lens case,ignorance,The lens is in the bag.,I'll check the bag. LEAVE.,bag,1
The X is [prep] Y,47,letter,mat,mailbox,shared_truth,The letter is on the door mat.,"Thanks, I'll check the door mat. LEAVE.",mat,1
The X is [prep] Y,47,letter,mat,mailbox,ignorance,The letter is on the door mat.,Thank you. I'll check the door mat. LEAVE.,mat,1
The X is [prep] Y,48,lighter,pocket,drawer,shared_truth,The lighter is in the jacket pocket.,"Thanks, I will check the jacket pocket then. LEAVE",pocket,1
The X is [prep] Y,48,lighter,pocket,drawer,ignorance,The lighter is in the jacket pocket.,"Thanks, I'll check the jacket pocket. LEAVE.",pocket,1
The X is [prep] Y,49,lock,gate,shed,shared_truth,The lock is on the gate.,"Great, I'll check the gate then. LEAVE",gate,1
The X is [prep] Y,49,lock,gate,shed,ignorance,The lock is on the gate.,"Thanks, I'll check the gate. LEAVE",gate,1
The X is [prep] Y,50,map,wall,table,shared_truth,The map is on the wall.,"Thanks, I will look on the wall. LEAVE.",wall,1
The X is [prep] Y,50,map,wall,table,ignorance,The map is on the wall.,"Thanks, I'll check the wall. LEAVE.",wall,1
The X is [prep] Y,51,marker,tray,cup,shared_truth,The marker is in the tray.,I will look in the tray. LEAVE.,tray,1
The X is [prep] Y,51,marker,tray,cup,ignorance,The marker is in the tray.,"Got it, I'll check the tray. LEAVE.",tray,1
The X is [prep] Y,52,mask,drawer,hook,shared_truth,The mask is on the drawer.,"Thank you, I'll check the drawer then. LEAVE",drawer,1
The X is [prep] Y,52,mask,drawer,hook,ignorance,The mask is on the drawer.,I will look on the drawer then. LEAVE,drawer,1
The X is [prep] Y,53,mat,shelf,floor,shared_truth,The mat is on the shelf.,"Thanks, I'll check the shelf. LEAVE.",shelf,1
The X is [prep] Y,53,mat,shelf,floor,ignorance,The mat is on the shelf.,I'll check the shelf then. LEAVE.,shelf,1
The X is [prep] Y,54,medal,box,shelf,shared_truth,The medal is on the display box.,"Great, I'll check the display box. LEAVE.",box,1
The X is [prep] Y,54,medal,box,shelf,ignorance,The medal is on the display box.,I will look in the display box. LEAVE,box,1
The X is [prep] Y,55,mirror,shelf,wall,shared_truth,The mirror is on the shelf.,I'll check the shelf then. LEAVE,shelf,1
The X is [prep] Y,55,mirror,shelf,wall,ignorance,The mirror is on the shelf.,I will look on the shelf. LEAVE.,shelf,1
The X is [prep] Y,56,mug,rack,shelf,shared_truth,The mug is on the drying rack.,"Great, I'll look on the drying rack. LEAVE",rack,1
The X is [prep] Y,56,mug,rack,shelf,ignorance,The mug is on the drying rack.,"Thanks, I'll check the drying rack. LEAVE.",rack,1
The X is [prep] Y,57,needle,drawer,box,shared_truth,The needle is in the drawer.,I'll look in the drawer. LEAVE,drawer,1
The X is [prep] Y,57,needle,drawer,box,ignorance,The needle is in the drawer.,"Thanks, I'll check the drawer. LEAVE",drawer,1
The X is [prep] Y,58,net,shed,yard,shared_truth,The net is in the storage shed.,"Thanks, I'll check the storage shed then. LEAVE",shed,1
The X is [prep] Y,58,net,shed,yard,ignorance,The net is in the storage shed.,"Thanks, I'll go check the storage shed. LEAVE",shed,1
The X is [prep] Y,59,notebook,desk,backpack,shared_truth,The notebook is in the desk.,"Thanks, I will check the desk. LEAVE",desk,1
The X is [prep] Y,59,notebook,desk,backpack,ignorance,The notebook is in the desk.,"Thanks, I'll look in the desk. LEAVE",desk,1
The X is [prep] Y,60,package,back porch,,shared_truth,The package is on the back porch.,"Thanks, I'll check the back porch. LEAVE",,
The X is [prep] Y,60,package,back porch,,ignorance,The package is on the back porch.,I'll check the back porch then. LEAVE,,
The X is [prep] Y,61,pail,shed,porch,shared_truth,The pail is on the shed.,"Thanks, I will check the shed. LEAVE",shed,1
The X is [prep] Y,61,pail,shed,porch,ignorance,The pail is on the shed.,"Thanks, I'll go check the shed. LEAVE",shed,1
The X is [prep] Y,62,paint,shelf,workbench,shared_truth,The paint is on the shelf.,I will check the shelf then. LEAVE,shelf,1
The X is [prep] Y,62,paint,shelf,workbench,ignorance,The paint is on the shelf.,"Thanks, I will look on the shelf. LEAVE",shelf,1
The X is [prep] Y,63,pan,shelf,stove,shared_truth,The pan is on the shelf.,"Thanks, I'll look on the shelf. LEAVE.",shelf,1
The X is [prep] Y,63,pan,shelf,stove,ignorance,The pan is on the shelf.,I will check the shelf then. LEAVE.,shelf,1
The X is [prep] Y,64,patch,drawer,table,shared_truth,The patch is on the drawer.,Thanks for confirming. I'll check the drawer. LEAVE.,drawer,1
The X is [prep] Y,64,patch,drawer,table,ignorance,The patch is on the drawer.,"Thanks, I'll check the drawer. LEAVE",drawer,1
The X is [prep] Y,65,pen,tray,cup,shared_truth,The pen is in the tray.,"Thanks, I'll check the tray. LEAVE",tray,1
The X is [prep] Y,65,pen,tray,cup,ignorance,The pen is in the tray.,I'll check the tray then. LEAVE,tray,1
The X is [prep] Y,66,phone,table,couch,shared_truth,The phone is on the table.,"Great, I'll look on the table. LEAVE",table,1
The X is [prep] Y,66,phone,table,couch,ignorance,The phone is on the table.,"Thanks, I'll look on the table. LEAVE",table,1
The X is [prep] Y,67,photo,drawer,shelf,shared_truth,The photo is in the drawer.,"Thanks, I'll check the drawer. LEAVE.",drawer,1
The X is [prep] Y,67,photo,drawer,shelf,ignorance,The photo is in the drawer.,"Okay, I will look in the drawer. LEAVE.",drawer,1
The X is [prep] Y,68,pillow,bed,couch,shared_truth,The pillow is on the bed.,"Thanks, I'll check the bed. LEAVE.",bed,1
The X is [prep] Y,68,pillow,bed,couch,ignorance,The pillow is on the bed.,"Got it, I'll look on the bed. LEAVE",bed,1
The X is [prep] Y,69,plate,sink,table,shared_truth,The plate is on the sink.,I'll check the sink. LEAVE,sink,1
The X is [prep] Y,69,plate,sink,table,ignorance,The plate is on the sink.,I'll check the sink then. LEAVE,sink,1
The X is [prep] Y,70,plug,floor,desk,shared_truth,The plug is on the floor.,"Thanks, I'll check the floor. LEAVE.",floor,1
The X is [prep] Y,70,plug,floor,desk,ignorance,The plug is on the floor.,I will check the floor. LEAVE,floor,1
The X is [prep] Y,71,rake,shed,fence,shared_truth,The rake is over by the shed.,"Perfect, I'll check by the shed. LEAVE",shed,1
The X is [prep] Y,71,rake,shed,fence,ignorance,The rake is over by the shed.,I'll check by the shed then. LEAVE.,shed,1
The X is [prep] Y,72,receipt,pocket,folder,shared_truth,The receipt is in the coat pocket.,I'll check the coat pocket then. LEAVE,pocket,1
The X is [prep] Y,72,receipt,pocket,folder,ignorance,The receipt is in the coat pocket.,"Got it, I'll check the coat pocket. LEAVE.",pocket,1
The X is [prep] Y,73,remote,table,sofa cushion,shared_truth,The remote is on the coffee table.,"Thanks, I'll check the coffee table. LEAVE.",table,1
The X is [prep] Y,73,remote,table,sofa cushion,ignorance,The remote is on the coffee table.,"Thanks, I'll check the coffee table. LEAVE.",table,1
The X is [prep] Y,74,ring,box,pouch,shared_truth,The ring is in the small box.,"Thanks, I will check the small box. LEAVE",box,1
The X is [prep] Y,74,ring,box,pouch,ignorance,The ring is in the small box.,I will check the small box. LEAVE.,box,1
The X is [prep] Y,75,rope,shed,car trunk,shared_truth,The rope is in the shed.,"Perfect, I will look in the shed. LEAVE",shed,1
The X is [prep] Y,75,rope,shed,car trunk,ignorance,The rope is in the shed.,"Thanks, I'll go check the shed. LEAVE",shed,1
The X is [prep] Y,76,scale,shelf,counter,shared_truth,The scale is on the shelf.,"Thanks, I'll check the shelf. LEAVE",shelf,1
The X is [prep] Y,76,scale,shelf,counter,ignorance,The scale is on the shelf.,I will check the shelf. LEAVE,shelf,1
The X is [prep] Y,77,scarf,closet,bench,shared_truth,The scarf is in the closet.,"Thanks, I'll check the closet. LEAVE.",closet,1
The X is [prep] Y,77,scarf,closet,bench,ignorance,The scarf is in the closet.,I'll look in the closet. LEAVE,closet,1
The X is [prep] Y,78,scissors,desk,cabinet,shared_truth,The scissors is on the desk.,I'll check the desk then. LEAVE.,desk,1
The X is [prep] Y,78,scissors,desk,cabinet,ignorance,The scissors is on the desk.,"Thanks, I'll check the desk. LEAVE",desk,1
The X is [prep] Y,79,seed,bag,pot,shared_truth,The seed is in the bag.,I will look in the bag. LEAVE.,bag,1
The X is [prep] Y,79,seed,bag,pot,ignorance,The seed is in the bag.,"Got it, I'll check the bag. LEAVE",bag,1
The X is [prep] Y,80,shovel,yard,tool shed,shared_truth,The shovel is in the yard.,"Thanks, I'll go check the yard. LEAVE.",yard,1
The X is [prep] Y,80,shovel,yard,tool shed,ignorance,The shovel is in the yard.,"Got it, I'll go look in the yard. LEAVE.",yard,1
The X is [prep] Y,81,soap,ledge,shelf,shared_truth,The soap is on the window ledge.,I'll check the window ledge then. LEAVE,ledge,1
The X is [prep] Y,81,soap,ledge,shelf,ignorance,The soap is on the window ledge.,I'll check the window ledge then. LEAVE,ledge,1
The X is [prep] Y,82,sponge,counter,sink,shared_truth,The sponge is on the counter.,"Thanks, I will check the counter then. LEAVE",counter,1
The X is [prep] Y,82,sponge,counter,sink,ignorance,The sponge is on the counter.,"Got it, I'll check the counter. LEAVE.",counter,1
The X is [prep] Y,83,spoon,bowl,cup,shared_truth,The spoon is in the bowl.,I'll check the bowl then. LEAVE,bowl,1
The X is [prep] Y,83,spoon,bowl,cup,ignorance,The spoon is in the bowl.,I'll check the bowl then. LEAVE,bowl,1
The X is [prep] Y,84,stamp,drawer,tray,shared_truth,The stamp is in the drawer.,"Great, I'll check the drawer then. LEAVE",drawer,1
The X is [prep] Y,84,stamp,drawer,tray,ignorance,The stamp is in the drawer.,"Thanks, I'll check the drawer. LEAVE",drawer,1
The X is [prep] Y,85,stapler,desk,drawer,shared_truth,The stapler is on the desk.,"Thank you, I will look on the desk. LEAVE.",desk,1
The X is [prep] Y,85,stapler,desk,drawer,ignorance,The stapler is on the desk.,I'll check the desk then. LEAVE.,desk,1
The X is [prep] Y,86,stone,pot,window ledge,shared_truth,The stone is on the pot.,I'll check the pot. LEAVE.,pot,1
The X is [prep] Y,86,stone,pot,window ledge,ignorance,The stone is on the pot.,"Thanks, I'll check the pot. LEAVE.",pot,1
The X is [prep] Y,87,strap,drawer,hook,shared_truth,The strap is on the drawer.,"Thanks, I'll check the drawer. LEAVE.",drawer,1
The X is [prep] Y,87,strap,drawer,hook,ignorance,The strap is on the drawer.,"Got it, I'll look on the drawer. LEAVE",drawer,1
The X is [prep] Y,88,tape,shelf,drawer,shared_truth,The tape is on the shelf.,I'll check the shelf. LEAVE,shelf,1
The X is [prep] Y,88,tape,shelf,drawer,ignorance,The tape is on the shelf.,"Got it, I'll look on the shelf. LEAVE.",shelf,1
The X is [prep] Y,89,ticket,pocket,bag,shared_truth,The ticket is in the coat pocket.,I will check the coat pocket. LEAVE,pocket,1
The X is [prep] Y,89,ticket,pocket,bag,ignorance,The ticket is in the coat pocket.,"Thanks, I will check the coat pocket. LEAVE",pocket,1
The X is [prep] Y,90,towel,rack,laundry basket,shared_truth,The towel is on the rack.,I'll check the towel rack then. LEAVE.,rack,1
The X is [prep] Y,90,towel,rack,laundry basket,ignorance,The towel is on the rack.,I will check the towel rack. LEAVE.,rack,1
The X is [prep] Y,91,toy,bin,rug,shared_truth,The toy is on the bin.,"Thanks, I'll check the toy bin. LEAVE",bin,1
The X is [prep] Y,91,toy,bin,rug,ignorance,The toy is on the bin.,I'll check the toy bin then. LEAVE,bin,1
The X is [prep] Y,92,tray,oven,counter,shared_truth,The tray is right there on the oven.,"Thanks, I'll check the oven. LEAVE.",oven,1
The X is [prep] Y,92,tray,oven,counter,ignorance,The tray is right there on the oven.,"Thanks, I'll check the oven. LEAVE.",oven,1
The X is [prep] Y,93,umbrella,hook,umbrella stand,shared_truth,The umbrella is on the wall hook.,I'll check the wall hook then. LEAVE.,hook,1
The X is [prep] Y,93,umbrella,hook,umbrella stand,ignorance,The umbrella is on the wall hook.,"Got it, I'll check the wall hook. LEAVE.",hook,1
The X is [prep] Y,94,vase,mantle,table,shared_truth,The vase is on the mantle.,I will look on the mantle. LEAVE,mantle,1
The X is [prep] Y,94,vase,mantle,table,ignorance,The vase is on the mantle.,"Thanks, I'll check the mantle. LEAVE.",mantle,1
The X is [prep] Y,95,wallet,drawer,desk,shared_truth,The wallet is in the drawer.,"Thanks, I will check the drawer. LEAVE.",drawer,1
The X is [prep] Y,95,wallet,drawer,desk,ignorance,The wallet is in the drawer.,"Thanks, I'll check the drawer. LEAVE",drawer,1
The X is [prep] Y,96,watch,nightstand,dresser,shared_truth,The watch is on the nightstand.,I'll check the nightstand. LEAVE.,nightstand,1
The X is [prep] Y,96,watch,nightstand,dresser,ignorance,The watch is on the nightstand.,"Thanks, I'll check the nightstand. LEAVE.",nightstand,1
The X is [prep] Y,97,whisk,drawer,hook,shared_truth,The whisk is on the drawer.,I will check the drawer then. LEAVE,drawer,1
The X is [prep] Y,97,whisk,drawer,hook,ignorance,The whisk is on the drawer.,I'll check the drawer. LEAVE,drawer,1
The X is [prep] Y,98,wire,bench,drawer,shared_truth,The wire is on the bench.,I'll check the bench. LEAVE.,bench,1
The X is [prep] Y,98,wire,bench,drawer,ignorance,The wire is on the bench.,"Got it, I'll look on the bench. LEAVE.",bench,1
The X is [prep] Y,99,wrench,toolbox,workbench,shared_truth,The wrench is on the toolbox.,"Great, I'll check the toolbox then. LEAVE.",toolbox,1
The X is [prep] Y,99,wrench,toolbox,workbench,ignorance,The wrench is on the toolbox.,"Thanks, I'll check the toolbox. LEAVE.",toolbox,1
The X you're looking for is Y,0,apron,drawer,hook,shared_truth,The apron you're looking for is on the drawer.,"Thank you, I will look in the drawer. LEAVE.",drawer,1
The X you're looking for is Y,0,apron,drawer,hook,ignorance,The apron you're looking for is on the drawer.,"Thanks, I'll check the drawer. LEAVE",drawer,1
The X you're looking for is Y,1,badge,desk,hook by the door,shared_truth,The badge you're looking for is on the desk.,"Thanks, I'll check the desk. LEAVE",desk,1
The X you're looking for is Y,1,badge,desk,hook by the door,ignorance,The badge you're looking for is on the desk.,"Thanks, I'll check the desk. LEAVE",desk,1
The X you're looking for is Y,2,ball,garage,yard,shared_truth,The ball you're looking for is in the garage.,"Thanks, I'll go look in the garage. LEAVE",garage,1
The X you're looking for is Y,2,ball,garage,yard,ignorance,The ball you're looking for is in the garage.,I'll check the garage then. LEAVE,garage,1
The X you're looking for is Y,3,belt,chair,closet,shared_truth,The belt you're looking for is on the chair.,I'll check the chair then. LEAVE,chair,1
The X you're looking for is Y,3,belt,chair,closet,ignorance,The belt you're looking for is on the chair.,"Thanks, I'll look on the chair. LEAVE",chair,1
The X you're looking for is Y,4,binder,desk,shelf,shared_truth,The binder you're looking for is on the desk.,"Thanks, Mia. I'll check the desk. LEAVE.",desk,1
The X you're looking for is Y,4,binder,desk,shelf,ignorance,The binder you're looking for is on the desk.,"Thanks, I'll check the desk. LEAVE",desk,1
The X you're looking for is Y,5,blanket,bed,chair,shared_truth,The blanket you're looking for is on the bed.,"Thanks, I'll check the bed. LEAVE",bed,1
The X you're looking for is Y,5,blanket,bed,chair,ignorance,The blanket you're looking for is on the bed.,"Got it, I'll look on the bed. LEAVE",bed,1
The X you're looking for is Y,6,book,shelf,bag,shared_truth,The book you're looking for is on the shelf.,"Thanks, I'll check the shelf. LEAVE",shelf,1
The X you're looking for is Y,6,book,shelf,bag,ignorance,The book you're looking for is on the shelf.,I will check the shelf. LEAVE.,shelf,1
The X you're looking for is Y,7,bottle,counter,fridge,shared_truth,The bottle you're looking for is on the counter.,"Thanks, I'll check the counter. LEAVE.",counter,1
The X you're looking for is Y,7,bottle,counter,fridge,ignorance,The bottle you're looking for is on the counter.,"Thanks, I'll check the counter then. LEAVE.",counter,1
The X you're looking for is Y,8,bowl,table,counter,shared_truth,The bowl you're looking for is on the table.,I'll check the table then. LEAVE,table,1
The X you're looking for is Y,8,bowl,table,counter,ignorance,The bowl you're looking for is on the table.,I will look on the table. LEAVE,table,1
The X you're looking for is Y,9,broom,closet,corner,shared_truth,The broom you're looking for is in the closet.,"Thanks, I will check the closet. LEAVE.",closet,1
The X you're looking for is Y,9,broom,closet,corner,ignorance,The broom you're looking for is in the closet.,"Thanks, I'll look in the closet. LEAVE.",closet,1
