model,scenario_idx,turn,speaker,text,acts,parsed_alloc,speaker_score
DeepSeek-R1-Distill-Llama-8B,17,6,Mia Sanders,I take 2 workbooks and 1 lanyard; you take 1 lanyard and 1 badge holder.,"counter_propose,insist","{""workbook"": 2, ""lanyard"": 1, ""badge holder"": 0}",4
DeepSeek-R1-Distill-Llama-8B,17,7,Ava Thompson,I take 2 workbooks and 1 lanyard; you take 1 lanyard and 1 badge holder.,"counter_propose,concede","{""workbook"": 0, ""lanyard"": 1, ""badge holder"": 1}",7
DeepSeek-R1-Distill-Llama-8B,17,8,Mia Sanders,I take 2 workbooks and 1 badge holder; you take 2 lanyards.,counter_propose,"{""workbook"": 2, ""lanyard"": 0, ""badge holder"": 1}",10
DeepSeek-R1-Distill-Llama-8B,17,9,Ava Thompson,I take 2 workbooks and 1 badge holder; you take 2 lanyards.,counter_propose,"{""workbook"": 0, ""lanyard"": 2, ""badge holder"": 0}",8
DeepSeek-R1-Distill-Llama-8B,17,10,Mia Sanders,I take 2 workbooks and 1 badge holder; you take 2 lanyards.,"counter_propose,insist","{""workbook"": 2, ""lanyard"": 0, ""badge holder"": 1}",10
DeepSeek-R1-Distill-Llama-8B,17,11,Ava Thompson,I take 2 workbooks and 1 badge holder; you take 2 lanyards.,"counter_propose,insist","{""workbook"": 0, ""lanyard"": 2, ""badge holder"": 0}",8
DeepSeek-R1-Distill-Llama-8B,17,12,Mia Sanders,I take 2 workbooks and 1 badge holder; you take 2 lanyards.,"counter_propose,insist","{""workbook"": 2, ""lanyard"": 0, ""badge holder"": 1}",10
DeepSeek-R1-Distill-Llama-8B,17,13,Ava Thompson,I take 2 workbooks and 1 badge holder; you take 2 lanyards.,"counter_propose,insist","{""workbook"": 0, ""lanyard"": 2, ""badge holder"": 0}",8
DeepSeek-R1-Distill-Llama-8B,17,14,Mia Sanders,I take 1 badge holder and 1 workbook; you take 1 workbook and 2 lanyards.,"counter_propose,concede","{""workbook"": 1, ""lanyard"": 0, ""badge holder"": 1}",8
DeepSeek-R1-Distill-Llama-8B,17,15,Ava Thompson,I take 1 workbook and 2 lanyards; you take 1 badge holder.,counter_propose,"{""workbook"": 0, ""lanyard"": 0, ""badge holder"": 1}",8
DeepSeek-R1-Distill-Llama-8B,18,0,Mia Sanders,I will take 4 stamp rolls.,propose,"{""envelope box"": 0, ""stamp roll"": 4, ""packing tape"": 0}",0
DeepSeek-R1-Distill-Llama-8B,18,1,Ava Thompson,I'll take the packing tape; you take the envelope box.,counter_propose,"{""envelope box"": 1, ""stamp roll"": 0, ""packing tape"": 0}",9
DeepSeek-R1-Distill-Llama-8B,18,2,Mia Sanders,I take 4 stamp rolls; you take the packing tape and the envelope box.,"counter_propose,insist","{""envelope box"": 0, ""stamp roll"": 4, ""packing tape"": 0}",0
DeepSeek-R1-Distill-Llama-8B,18,3,Ava Thompson,I take the packing tape; you take the envelope box and the 4 stamp rolls.,"counter_propose,concede","{""envelope box"": 1, ""stamp roll"": 4, ""packing tape"": 0}",5
DeepSeek-R1-Distill-Llama-8B,18,4,Mia Sanders,I take the 4 stamp rolls; you take the packing tape and the envelope box.,"counter_propose,insist","{""envelope box"": 0, ""stamp roll"": 4, ""packing tape"": 0}",0
DeepSeek-R1-Distill-Llama-8B,18,5,Ava Thompson,I take the packing tape and the envelope box; you take the 4 stamp rolls.,accept,"{""envelope box"": 0, ""stamp roll"": 4, ""packing tape"": 0}",6
DeepSeek-R1-Distill-Llama-8B,19,0,Mia Sanders,I take the sugar jar and the coffee mug; you take all the tea boxes.,propose,"{""coffee mug"": 1, ""tea box"": 0, ""sugar jar"": 1}",6
DeepSeek-R1-Distill-Llama-8B,19,1,Ava Thompson,I take the sugar jar and the coffee mug; you take all the tea boxes.,counter_propose,"{""coffee mug"": 0, ""tea box"": 4, ""sugar jar"": 0}",10
DeepSeek-R1-Distill-Llama-8B,19,2,Mia Sanders,I'll give you the sugar jar if you give me the coffee mug and three tea boxes.,counter_propose,"{""coffee mug"": 1, ""tea box"": 3, ""sugar jar"": 1}",9
DeepSeek-R1-Distill-Llama-8B,19,3,Ava Thompson,I take the sugar jar and the coffee mug; you take all the tea boxes.,"counter_propose,insist","{""coffee mug"": 0, ""tea box"": 4, ""sugar jar"": 0}",10
DeepSeek-R1-Distill-Llama-8B,19,4,Mia Sanders,I'll take the coffee mug and three tea boxes; you take the sugar jar and one tea box.,"counter_propose,concede","{""coffee mug"": 1, ""tea box"": 3, ""sugar jar"": 0}",4
DeepSeek-R1-Distill-Llama-8B,19,5,Ava Thompson,I take the sugar jar and one tea box; you take the coffee mug and three tea boxes.,"accept,concede","{""coffee mug"": 1, ""tea box"": 3, ""sugar jar"": 0}",9
DeepSeek-R1-Distill-Llama-8B,1,0,Mia Sanders,"I take the vase and all 3 frames; you get all the candles.""",propose,"{""candle"": 0, ""picture frame"": 3, ""vase"": 1}",10
DeepSeek-R1-Distill-Llama-8B,1,1,Ava Thompson,I take the candles; you take the frames and vase.,counter_propose,"{""candle"": 0, ""picture frame"": 3, ""vase"": 0}",4
DeepSeek-R1-Distill-Llama-8B,1,2,Mia Sanders,I take the vase and all 3 frames; you take all the candles.,"counter_propose,insist","{""candle"": 0, ""picture frame"": 3, ""vase"": 1}",10
DeepSeek-R1-Distill-Llama-8B,1,3,Ava Thompson,I take the candles and 2 picture frames; you take the vase and 1 picture frame.,counter_propose,"{""candle"": 0, ""picture frame"": 1, ""vase"": 1}",8
DeepSeek-R1-Distill-Llama-8B,1,4,Mia Sanders,I take the vase and all 3 picture frames; you take all the candles.,"counter_propose,insist","{""candle"": 0, ""picture frame"": 3, ""vase"": 1}",10
DeepSeek-R1-Distill-Llama-8B,1,5,Ava Thompson,I take 1 vase and 2 picture frames; you take 2 candles and 1 picture frame.,"counter_propose,concede","{""candle"": 2, ""picture frame"": 1, ""vase"": 0}",4
DeepSeek-R1-Distill-Llama-8B,1,6,Mia Sanders,I take the vase and all 3 picture frames; you take all the candles.,"counter_propose,insist","{""candle"": 0, ""picture frame"": 3, ""vase"": 1}",10
DeepSeek-R1-Distill-Llama-8B,1,7,Ava Thompson,I take 1 vase and 2 picture frames; you take all the candles.,counter_propose,"{""candle"": 2, ""picture frame"": 0, ""vase"": 0}",6
DeepSeek-R1-Distill-Llama-8B,1,8,Mia Sanders,I take the vase and all 3 picture frames; you take all the candles.,"counter_propose,insist","{""candle"": 0, ""picture frame"": 3, ""vase"": 1}",10
DeepSeek-R1-Distill-Llama-8B,1,9,Ava Thompson,I take 1 vase and 2 picture frames; you take all the candles.,"counter_propose,insist","{""candle"": 2, ""picture frame"": 0, ""vase"": 0}",6
DeepSeek-R1-Distill-Llama-8B,1,10,Mia Sanders,I take the vase and all 3 picture frames; you take all the candles.,"counter_propose,insist","{""candle"": 0, ""picture frame"": 3, ""vase"": 1}",10
DeepSeek-R1-Distill-Llama-8B,1,11,Ava Thompson,I take 1 vase and 2 picture frames; you take all the candles.,"counter_propose,insist","{""candle"": 2, ""picture frame"": 0, ""vase"": 0}",6
DeepSeek-R1-Distill-Llama-8B,1,12,Mia Sanders,I take the vase and all 3 picture frames; you take all the candles.,"counter_propose,insist","{""candle"": 0, ""picture frame"": 3, ""vase"": 1}",10
DeepSeek-R1-Distill-Llama-8B,1,13,Ava Thompson,I take 2 candles and 2 picture frames; you take 1 candle and 1 picture frame.,counter_propose,"{""candle"": 0, ""picture frame"": 1, ""vase"": 1}",8
DeepSeek-R1-Distill-Llama-8B,1,14,Mia Sanders,I take the vase and all 3 picture frames; you take all the candles.,"counter_propose,insist","{""candle"": 0, ""picture frame"": 3, ""vase"": 1}",10
DeepSeek-R1-Distill-Llama-8B,1,15,Ava Thompson,I take 2 candles and 2 picture frames; you take 1 candle and 1 picture frame.,"counter_propose,insist","{""candle"": 0, ""picture frame"": 1, ""vase"": 1}",8
DeepSeek-R1-Distill-Llama-8B,20,0,Mia Sanders,I take 2 candy bars. Do you think that's fair?,propose,"{""bag of chips"": 0, ""candy bar"": 2, ""soda can"": 0}",0
DeepSeek-R1-Distill-Llama-8B,20,1,Ava Thompson,I take the bag of chips and 1 candy bar; you take 2 candy bars.,accept,"{""bag of chips"": 0, ""candy bar"": 2, ""soda can"": 0}",8
DeepSeek-R1-Distill-Llama-8B,21,0,Mia Sanders,I take the cookie tin; you take both brownie trays and both cupcake boxes.,propose,"{""cookie tin"": 1, ""brownie tray"": 0, ""cupcake box"": 0}",7
DeepSeek-R1-Distill-Llama-8B,21,1,Ava Thompson,I take the brownie trays and cupcakes; you take the cookie tin.,accept,"{""cookie tin"": 1, ""brownie tray"": 0, ""cupcake box"": 0}",8
DeepSeek-R1-Distill-Llama-8B,22,0,Mia Sanders,,small_talk,,
DeepSeek-R1-Distill-Llama-8B,22,1,Ava Thompson,"Ava Thompson said""I'll take the party hat and one balloon pack. You can have the streamer roll and t",propose,"{""balloon pack"": 1, ""streamer roll"": 1, ""party hat"": 0}",8
DeepSeek-R1-Distill-Llama-8B,22,2,Mia Sanders,I take the remaining two balloon packs and the streamer roll.,counter_propose,"{""balloon pack"": 2, ""streamer roll"": 1, ""party hat"": 0}",6
DeepSeek-R1-Distill-Llama-8B,22,3,Ava Thompson,I take the party hat and one balloon pack; you take the streamer roll and the remaining two balloon ,"accept,concede","{""balloon pack"": 2, ""streamer roll"": 1, ""party hat"": 0}",7
DeepSeek-R1-Distill-Llama-8B,23,0,Mia Sanders,I take 2 sandwiches and 1 fruit cup; you take 1 sandwich and 1 juice box,propose,"{""sandwich"": 2, ""juice box"": 0, ""fruit cup"": 1}",8
DeepSeek-R1-Distill-Llama-8B,23,1,Ava Thompson,I take 1 sandwich and 1 juice box.,accept,"{""sandwich"": 2, ""juice box"": 0, ""fruit cup"": 1}",3
DeepSeek-R1-Distill-Llama-8B,24,0,Mia Sanders,I'll take the salad bowl if you take the dessert cup.,propose,"{""wrap"": 0, ""salad bowl"": 1, ""dessert cup"": 0}",1
DeepSeek-R1-Distill-Llama-8B,24,1,Ava Thompson,I take the dessert cup; you take the salad bowl. The wraps can be split as needed.,counter_propose,"{""wrap"": 4, ""salad bowl"": 1, ""dessert cup"": 0}",10
DeepSeek-R1-Distill-Llama-8B,24,2,Mia Sanders,I take all the wraps.,counter_propose,"{""wrap"": 4, ""salad bowl"": 0, ""dessert cup"": 0}",4
DeepSeek-R1-Distill-Llama-8B,24,3,Ava Thompson,I take the dessert cup; you take the wraps.,accept,"{""wrap"": 4, ""salad bowl"": 0, ""dessert cup"": 0}",10
DeepSeek-R1-Distill-Llama-8B,25,0,Mia Sanders,"""I can go first. Do you want to go first or should I go first?""",small_talk,,
DeepSeek-R1-Distill-Llama-8B,25,1,Ava Thompson,"Ava Thompson said""You go first.""",small_talk,,
DeepSeek-R1-Distill-Llama-8B,25,2,Mia Sanders,I take the juice pouch. You can have the goodie bags and the cake.,propose,"{""goodie bag"": 0, ""slice of cake"": 0, ""juice pouch"": 1}",10
DeepSeek-R1-Distill-Llama-8B,25,3,Ava Thompson,I take the goodie bags; you take the cake.,counter_propose,"{""goodie bag"": 0, ""slice of cake"": 1, ""juice pouch"": 0}",9
DeepSeek-R1-Distill-Llama-8B,25,4,Mia Sanders,I take the juice pouch; you take the goodie bags and the cake.,"counter_propose,insist","{""goodie bag"": 0, ""slice of cake"": 0, ""juice pouch"": 1}",10
DeepSeek-R1-Distill-Llama-8B,25,5,Ava Thompson,"""I take the goodie bags; you take the cake.""","counter_propose,insist","{""goodie bag"": 0, ""slice of cake"": 1, ""juice pouch"": 0}",9
DeepSeek-R1-Distill-Llama-8B,25,6,Mia Sanders,I take the juice pouch; you take the goodie bags and the cake.,"counter_propose,insist","{""goodie bag"": 0, ""slice of cake"": 0, ""juice pouch"": 1}",10
DeepSeek-R1-Distill-Llama-8B,25,7,Ava Thompson,"Ava Thompson said""I take the goodie bags; you take the cake.""","counter_propose,insist","{""goodie bag"": 0, ""slice of cake"": 1, ""juice pouch"": 0}",9
DeepSeek-R1-Distill-Llama-8B,25,8,Mia Sanders,I take the cake; you take the goodie bags and the juice pouch.,"accept,concede","{""goodie bag"": 0, ""slice of cake"": 1, ""juice pouch"": 0}",0
DeepSeek-R1-Distill-Llama-8B,26,0,Mia Sanders,"I want the burger patties. If you want the coleslaw, you can have it. The corn is yours.",propose,"{""burger patty"": 2, ""corn cob"": 0, ""coleslaw cup"": 1}",9
DeepSeek-R1-Distill-Llama-8B,26,1,Ava Thompson,"""I would like the burger patties and the coleslaw. The corn can be yours.""",counter_propose,"{""burger patty"": 0, ""corn cob"": 1, ""coleslaw cup"": 1}",8
DeepSeek-R1-Distill-Llama-8B,26,2,Mia Sanders,I take the corn; you take the patties and coleslaw.,"counter_propose,concede","{""burger patty"": 0, ""corn cob"": 1, ""coleslaw cup"": 0}",0
DeepSeek-R1-Distill-Llama-8B,26,3,Ava Thompson,I take the burger patties and the coleslaw; you take the corn.,accept,"{""burger patty"": 0, ""corn cob"": 1, ""coleslaw cup"": 0}",9
DeepSeek-R1-Distill-Llama-8B,27,0,Mia Sanders,I'll take the 2 granola bars and 2 fruit packs. Does that work?,propose,"{""water bottle"": 0, ""granola bar"": 2, ""fruit pack"": 2}",4
DeepSeek-R1-Distill-Llama-8B,27,1,Ava Thompson,I take 2 water bottles; you take 2 granola bars and 2 fruit packs.,accept,"{""water bottle"": 0, ""granola bar"": 2, ""fruit pack"": 2}",8
DeepSeek-R1-Distill-Llama-8B,28,0,Mia Sanders,I take 1 muffin and 1 yogurt cup; you take 1 muffin and 1 yogurt cup.,propose,"{""muffin"": 1, ""yogurt cup"": 1, ""juice carton"": 0}",5
DeepSeek-R1-Distill-Llama-8B,28,1,Ava Thompson,I'll take the 2 juice cartons; you take the muffin and yogurt.,counter_propose,"{""muffin"": 1, ""yogurt cup"": 0, ""juice carton"": 0}",10
DeepSeek-R1-Distill-Llama-8B,28,2,Mia Sanders,I take 1 muffin and 1 yogurt; you take 2 juice cartons.,"counter_propose,insist","{""muffin"": 1, ""yogurt cup"": 1, ""juice carton"": 0}",5
DeepSeek-R1-Distill-Llama-8B,28,3,Ava Thompson,I take 2 juice cartons; you take 1 muffin and 1 yogurt.,"accept,concede","{""muffin"": 1, ""yogurt cup"": 1, ""juice carton"": 0}",8
DeepSeek-R1-Distill-Llama-8B,29,0,Mia Sanders,I take 2 sauce bottles; you take 2 pickle jars and 2 jam jars.,propose,"{""jam jar"": 0, ""pickle jar"": 0, ""sauce bottle"": 2}",6
DeepSeek-R1-Distill-Llama-8B,29,1,Ava Thompson,I take 2 pickle jars and 2 jam jars; you take 2 sauce bottles.,accept,"{""jam jar"": 0, ""pickle jar"": 0, ""sauce bottle"": 2}",10
DeepSeek-R1-Distill-Llama-8B,2,0,Mia Sanders,I take 1 blanket and 2 rugs; you take the pillow and 1 blanket.,propose,"{""pillow"": 0, ""blanket"": 1, ""rug"": 2}",5
DeepSeek-R1-Distill-Llama-8B,2,1,Ava Thompson,I take the pillow; you take 1 blanket and 2 rugs.,accept,"{""pillow"": 0, ""blanket"": 1, ""rug"": 2}",10
DeepSeek-R1-Distill-Llama-8B,30,0,Mia Sanders,I take the paint tube and 2 canvases; you take 1 canvas and 2 paintbrushes.,propose,"{""paintbrush"": 0, ""canvas"": 2, ""paint tube"": 1}",3
DeepSeek-R1-Distill-Llama-8B,30,1,Ava Thompson,I take 1 canvas and 2 paintbrushes; you take 1 paint tube and 2 canvases.,accept,"{""paintbrush"": 0, ""canvas"": 2, ""paint tube"": 1}",7
DeepSeek-R1-Distill-Llama-8B,31,0,Mia Sanders,I'll take the yarn skein and give you the fabric and buttons.,propose,"{""yarn skein"": 1, ""fabric bolt"": 1, ""button pack"": 0}",10
DeepSeek-R1-Distill-Llama-8B,31,1,Ava Thompson,I take 4 fabric bolts and 2 button packs; you take the yarn skein.,counter_propose,"{""yarn skein"": 1, ""fabric bolt"": 0, ""button pack"": 0}",8
DeepSeek-R1-Distill-Llama-8B,31,2,Mia Sanders,I take the yarn skein; you take 4 fabric bolts and 2 button packs.,accept,"{""yarn skein"": 1, ""fabric bolt"": 0, ""button pack"": 0}",10
DeepSeek-R1-Distill-Llama-8B,32,0,Mia Sanders,You take the lens filter; I take 1 memory card and 2 battery packs; Ava takes 1 memory card and 2 ba,propose,"{""lens filter"": 1, ""memory card"": 0, ""battery pack"": 0}",4
DeepSeek-R1-Distill-Llama-8B,32,1,Ava Thompson,I take the other memory card; you take the lens filter and 2 battery packs.,counter_propose,"{""lens filter"": 1, ""memory card"": 0, ""battery pack"": 2}",10
DeepSeek-R1-Distill-Llama-8B,32,2,Mia Sanders,I take the lens and 2 battery packs; you take the other memory card and 2 battery packs.,accept,"{""lens filter"": 1, ""memory card"": 0, ""battery pack"": 2}",6
DeepSeek-R1-Distill-Llama-8B,33,0,Mia Sanders,Do you mean you'll take the music stand and give me both metronomes?,propose,"{""music stand"": 1, ""metronome"": 2, ""tuner"": 0}",10
DeepSeek-R1-Distill-Llama-8B,33,1,Ava Thompson,I take the music stand and give you both metronomes; you take all four tuners.,counter_propose,"{""music stand"": 0, ""metronome"": 0, ""tuner"": 4}",6
DeepSeek-R1-Distill-Llama-8B,33,2,Mia Sanders,I take the music stand and both metronomes; you take all four tuners.,"counter_propose,insist","{""music stand"": 1, ""metronome"": 2, ""tuner"": 0}",10
DeepSeek-R1-Distill-Llama-8B,33,3,Ava Thompson,I take all four tuners; you take the music stand and both metronomes.,"accept,concede","{""music stand"": 1, ""metronome"": 2, ""tuner"": 0}",4
DeepSeek-R1-Distill-Llama-8B,34,0,Mia Sanders,I take the wood stain can; you take both sandpaper sheets.,propose,"{""wood plank"": 1, ""sandpaper sheet"": 0, ""wood stain can"": 1}",8
DeepSeek-R1-Distill-Llama-8B,34,1,Ava Thompson,I take 3 wood planks and 2 sandpaper sheets; you take the wood stain can.,counter_propose,"{""wood plank"": 0, ""sandpaper sheet"": 0, ""wood stain can"": 1}",5
DeepSeek-R1-Distill-Llama-8B,34,2,Mia Sanders,I take 2 sandpaper sheets and 1 wood stain can; you take 3 wood planks.,counter_propose,"{""wood plank"": 0, ""sandpaper sheet"": 2, ""wood stain can"": 1}",10
DeepSeek-R1-Distill-Llama-8B,34,3,Ava Thompson,I take 3 wood planks; you take the wood stain can.,"accept,concede","{""wood plank"": 0, ""sandpaper sheet"": 2, ""wood stain can"": 1}",3
DeepSeek-R1-Distill-Llama-8B,35,0,Mia Sanders,I take 1 clay block and 2 glaze bottles; you take 2 clay blocks and 1 kiln shelf,propose,"{""clay block"": 1, ""glaze bottle"": 2, ""kiln shelf"": 0}",3
DeepSeek-R1-Distill-Llama-8B,35,1,Ava Thompson,I take 2 clay blocks and 1 kiln shelf; you take 1 clay block and 2 glaze bottles,accept,"{""clay block"": 1, ""glaze bottle"": 2, ""kiln shelf"": 0}",8
DeepSeek-R1-Distill-Llama-8B,36,0,Mia Sanders,I take 1 fabric square and 3 batting rolls; you take 1 fabric square and 1 batting roll.,propose,"{""fabric square"": 1, ""thread spool"": 0, ""batting roll"": 3}",3
DeepSeek-R1-Distill-Llama-8B,36,1,Ava Thompson,I take 1 fabric square and 1 batting roll; you take 1 fabric square and 3 batting rolls.,counter_propose,"{""fabric square"": 1, ""thread spool"": 1, ""batting roll"": 2}",4
DeepSeek-R1-Distill-Llama-8B,36,2,Mia Sanders,I take the thread spool and 2 batting rolls; you take 2 fabric squares and 1 batting roll.,counter_propose,"{""fabric square"": 0, ""thread spool"": 1, ""batting roll"": 2}",9
DeepSeek-R1-Distill-Llama-8B,36,3,Ava Thompson,,small_talk,,
