model,scenario_idx,n_proposes,n_concessions,n_accepts,n_rejects,n_inquiries,agreed,joint_score
DeepSeek-R1-Distill-Llama-8B,55,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,56,1,0,1,0,0,1,10.0
DeepSeek-R1-Distill-Llama-8B,57,4,2,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,58,1,0,1,0,0,1,12.0
DeepSeek-R1-Distill-Llama-8B,59,16,1,0,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,5,6,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,60,13,0,0,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,61,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,62,6,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,63,12,2,0,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,64,2,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,65,1,0,1,0,0,1,18.0
DeepSeek-R1-Distill-Llama-8B,66,2,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,67,6,1,1,0,0,1,16.0
DeepSeek-R1-Distill-Llama-8B,68,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,69,16,0,0,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,6,1,0,1,0,0,1,11.0
DeepSeek-R1-Distill-Llama-8B,70,13,2,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,71,2,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,72,8,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,73,2,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,74,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,75,6,2,1,0,0,1,13.0
DeepSeek-R1-Distill-Llama-8B,76,2,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,77,15,1,0,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,78,4,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,79,9,4,2,0,0,1,14.0
DeepSeek-R1-Distill-Llama-8B,7,4,1,1,0,0,1,13.0
DeepSeek-R1-Distill-Llama-8B,80,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,81,3,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,82,8,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,83,2,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,84,3,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,85,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,86,3,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,87,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,88,2,0,2,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,89,14,0,0,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,8,3,0,1,0,0,1,14.0
DeepSeek-R1-Distill-Llama-8B,90,8,2,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,91,2,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,92,2,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,93,12,4,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,94,1,0,1,0,0,1,15.0
DeepSeek-R1-Distill-Llama-8B,95,2,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,96,14,1,0,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,97,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,98,16,1,0,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,99,3,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,9,4,1,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,0,1,0,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,10,16,6,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,11,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,12,16,3,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,13,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,14,8,2,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,15,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,16,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,17,15,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,18,16,3,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,19,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,1,5,2,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,20,16,6,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,21,16,6,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,22,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,23,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,24,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,25,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,26,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,27,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,28,16,7,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,29,16,7,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,2,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,30,1,0,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,31,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,32,16,3,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,33,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,34,14,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,35,14,3,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,36,13,5,1,0,0,1,10.0
Meta-Llama-3-8B-Instruct,37,16,6,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,38,16,3,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,39,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,3,16,6,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,40,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,41,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,42,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,43,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,44,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,45,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,46,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,47,16,1,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,48,16,6,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,49,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,4,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,50,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,51,16,6,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,52,10,4,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,53,15,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,54,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,55,1,0,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,56,3,0,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,57,15,7,1,0,0,1,8.0
Meta-Llama-3-8B-Instruct,58,16,7,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,59,16,8,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,5,4,2,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,60,16,3,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,61,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,62,16,7,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,63,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,64,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,65,16,6,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,66,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,67,1,0,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,68,6,3,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,69,3,0,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,6,14,4,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,70,16,3,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,71,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,72,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,73,16,6,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,74,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,75,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,76,14,3,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,77,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,78,16,6,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,79,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,7,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,80,15,3,1,0,0,1,8.0
Meta-Llama-3-8B-Instruct,81,16,3,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,82,16,3,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,83,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,84,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,85,16,6,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,86,16,3,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,87,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,88,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,89,1,0,1,0,0,1,15.0
Meta-Llama-3-8B-Instruct,8,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,90,16,3,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,91,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,92,16,5,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,93,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,94,16,7,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,95,16,7,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,96,16,3,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,97,16,4,0,0,0,0,0.0
Meta-Llama-3-8B-Instruct,98,2,1,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,99,1,0,1,0,0,0,0.0
Meta-Llama-3-8B-Instruct,9,16,7,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,0,1,0,0,0,0,1,14.0
Mistral-7B-Instruct-v0.2,10,8,1,1,0,0,1,17.0
Mistral-7B-Instruct-v0.2,11,1,0,1,0,0,1,16.0
Mistral-7B-Instruct-v0.2,12,3,0,1,0,0,1,13.0
Mistral-7B-Instruct-v0.2,13,8,4,1,0,0,1,12.0
Mistral-7B-Instruct-v0.2,14,11,1,0,0,0,1,8.0
Mistral-7B-Instruct-v0.2,15,5,2,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,16,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,17,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,18,16,2,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,19,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,1,8,1,1,0,0,1,15.0
Mistral-7B-Instruct-v0.2,20,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,21,16,4,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,22,2,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,23,16,6,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,24,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,25,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,26,16,4,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,27,5,1,1,0,0,1,12.0
Mistral-7B-Instruct-v0.2,28,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,29,4,2,4,0,0,1,12.0
Mistral-7B-Instruct-v0.2,2,5,0,1,0,0,1,13.0
Mistral-7B-Instruct-v0.2,30,6,2,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,31,7,1,2,0,0,1,17.0
Mistral-7B-Instruct-v0.2,32,6,2,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,33,14,6,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,34,16,4,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,35,16,3,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,36,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,37,13,6,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,38,7,2,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,39,6,1,1,0,0,1,18.0
Mistral-7B-Instruct-v0.2,3,9,1,1,0,0,1,16.0
Mistral-7B-Instruct-v0.2,40,16,2,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,41,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,42,3,0,0,0,0,1,14.0
Mistral-7B-Instruct-v0.2,43,1,0,1,0,0,1,17.0
Mistral-7B-Instruct-v0.2,44,16,2,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,45,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,46,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,47,3,0,1,0,0,1,18.0
Mistral-7B-Instruct-v0.2,48,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,49,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,4,16,4,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,50,1,0,1,0,0,1,6.0
Mistral-7B-Instruct-v0.2,51,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,52,6,1,0,0,0,1,14.0
Mistral-7B-Instruct-v0.2,53,6,1,0,0,0,1,16.0
Mistral-7B-Instruct-v0.2,54,3,1,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,55,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,56,2,0,0,0,0,1,11.0
Mistral-7B-Instruct-v0.2,57,1,0,1,0,0,1,12.0
Mistral-7B-Instruct-v0.2,58,1,0,1,0,0,1,16.0
Mistral-7B-Instruct-v0.2,59,16,3,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,5,1,0,1,0,0,1,17.0
Mistral-7B-Instruct-v0.2,60,1,0,1,0,0,1,13.0
Mistral-7B-Instruct-v0.2,61,4,1,1,0,0,1,12.0
Mistral-7B-Instruct-v0.2,62,16,2,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,63,5,0,0,0,0,1,16.0
Mistral-7B-Instruct-v0.2,64,1,0,1,0,0,1,11.0
Mistral-7B-Instruct-v0.2,65,3,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,66,6,2,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,67,10,1,1,0,0,1,16.0
Mistral-7B-Instruct-v0.2,68,16,3,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,69,16,5,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,6,1,0,1,0,0,1,12.0
Mistral-7B-Instruct-v0.2,70,16,2,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,71,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,72,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,73,3,1,6,0,0,0,0.0
Mistral-7B-Instruct-v0.2,74,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,75,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,76,2,1,1,0,0,1,14.0
Mistral-7B-Instruct-v0.2,77,2,1,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,78,1,0,1,0,0,1,12.0
Mistral-7B-Instruct-v0.2,79,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,7,1,0,1,0,0,1,12.0
Mistral-7B-Instruct-v0.2,80,16,3,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,81,16,2,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,82,4,2,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,83,5,1,2,0,0,1,12.0
Mistral-7B-Instruct-v0.2,84,1,0,1,0,0,1,8.0
Mistral-7B-Instruct-v0.2,85,16,4,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,86,2,1,1,0,0,1,9.0
Mistral-7B-Instruct-v0.2,87,2,0,0,0,0,1,11.0
Mistral-7B-Instruct-v0.2,88,10,1,1,0,0,1,14.0
Mistral-7B-Instruct-v0.2,89,7,1,2,0,0,1,7.0
Mistral-7B-Instruct-v0.2,8,5,2,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,90,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,91,5,1,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,92,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,93,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,94,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,95,16,4,0,0,0,0,0.0
Mistral-7B-Instruct-v0.2,96,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.2,97,7,3,4,0,0,1,13.0
Mistral-7B-Instruct-v0.2,98,1,0,1,0,0,1,6.0
Mistral-7B-Instruct-v0.2,99,7,1,1,0,0,1,13.0
Mistral-7B-Instruct-v0.2,9,3,1,1,0,0,0,0.0
Mistral-7B-Instruct-v0.3,0,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,10,2,0,1,0,0,1,14.0
Mistral-7B-Instruct-v0.3,11,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,12,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,13,2,0,0,0,0,1,11.0
Mistral-7B-Instruct-v0.3,14,2,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,15,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,16,6,4,9,0,0,1,11.0
Mistral-7B-Instruct-v0.3,17,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,18,5,3,7,0,0,1,14.0
Mistral-7B-Instruct-v0.3,19,1,0,1,0,0,1,7.0
Mistral-7B-Instruct-v0.3,1,1,0,1,0,0,1,17.0
Mistral-7B-Instruct-v0.3,20,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,21,2,0,1,0,0,1,13.0
Mistral-7B-Instruct-v0.3,22,13,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,23,2,0,0,0,0,1,16.0
Mistral-7B-Instruct-v0.3,24,4,2,1,0,0,1,6.0
Mistral-7B-Instruct-v0.3,25,4,0,4,0,0,1,13.0
Mistral-7B-Instruct-v0.3,26,12,1,1,0,0,0,0.0
Mistral-7B-Instruct-v0.3,27,14,0,0,0,1,0,0.0
Mistral-7B-Instruct-v0.3,28,2,0,1,0,0,1,10.0
Mistral-7B-Instruct-v0.3,29,9,0,0,0,0,1,10.0
Mistral-7B-Instruct-v0.3,2,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.3,30,3,1,1,0,0,0,0.0
Mistral-7B-Instruct-v0.3,31,9,3,1,0,0,1,15.0
Mistral-7B-Instruct-v0.3,32,1,0,0,0,0,1,9.0
Mistral-7B-Instruct-v0.3,33,6,2,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,34,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,35,15,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,36,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,37,8,0,0,0,0,1,4.0
Mistral-7B-Instruct-v0.3,38,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,39,16,3,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,3,4,1,2,0,0,1,16.0
Mistral-7B-Instruct-v0.3,40,3,1,1,0,0,0,0.0
Mistral-7B-Instruct-v0.3,41,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,42,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.3,43,2,0,1,0,0,1,18.0
Mistral-7B-Instruct-v0.3,44,4,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,45,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,46,7,0,0,0,0,1,10.0
Mistral-7B-Instruct-v0.3,47,4,1,1,0,0,1,14.0
Mistral-7B-Instruct-v0.3,48,1,0,1,0,0,1,16.0
Mistral-7B-Instruct-v0.3,49,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.3,4,7,0,1,0,0,1,17.0
Mistral-7B-Instruct-v0.3,50,1,0,1,0,0,1,12.0
Mistral-7B-Instruct-v0.3,51,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,52,5,0,0,0,0,1,8.0
Mistral-7B-Instruct-v0.3,53,4,1,1,0,0,1,16.0
Mistral-7B-Instruct-v0.3,54,5,1,1,0,0,1,11.0
Mistral-7B-Instruct-v0.3,55,3,1,1,0,0,1,10.0
Mistral-7B-Instruct-v0.3,56,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,57,16,2,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,58,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.3,59,2,0,1,0,0,1,16.0
Mistral-7B-Instruct-v0.3,5,14,0,1,0,0,1,17.0
Mistral-7B-Instruct-v0.3,60,9,2,3,0,0,1,7.0
Mistral-7B-Instruct-v0.3,61,1,0,1,0,0,1,15.0
Mistral-7B-Instruct-v0.3,62,1,0,1,0,0,1,16.0
Mistral-7B-Instruct-v0.3,63,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,64,4,1,0,0,0,1,12.0
Mistral-7B-Instruct-v0.3,65,16,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,66,15,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,67,2,0,1,0,0,1,4.0
Mistral-7B-Instruct-v0.3,68,1,0,0,0,0,1,4.0
Mistral-7B-Instruct-v0.3,69,16,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,6,3,1,1,0,0,1,13.0
Mistral-7B-Instruct-v0.3,70,16,3,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,71,11,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,72,2,0,0,0,0,1,10.0
Mistral-7B-Instruct-v0.3,73,14,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,74,1,0,1,0,0,0,0.0
Mistral-7B-Instruct-v0.3,75,3,1,1,0,0,1,13.0
Mistral-7B-Instruct-v0.3,76,2,1,1,0,0,0,0.0
Mistral-7B-Instruct-v0.3,77,1,0,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,78,15,1,0,0,0,0,0.0
Mistral-7B-Instruct-v0.3,79,9,0,0,0,0,0,0.0
