pair,scenario,condition,class,turn,agent,layer_index,layer_label,logprob_diff
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,wallet,false_deceive,ava_strategy,0,1,10,30%,0.24149513244628906
Meta-Llama-3-8B-Instruct × Qwen3-8B,wallet,false_deceive,ava_strategy,0,1,10,30%,0.24149513244628906
Meta-Llama-3-8B-Instruct × Qwen_Qwen3-14B,wallet,false_deceive,ava_strategy,0,1,10,30%,0.23973464965820312
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,wallet,false_deceive,ava_strategy,0,1,10,30%,0.8171272277832031
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,wallet,false_deceive,ava_strategy,0,1,10,30%,0.8171272277832031
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,wallet,false_deceive,ava_strategy,0,1,10,30%,0.8171272277832031
Mistral-7B-Instruct-v0.2 × Qwen3-8B,wallet,false_deceive,ava_strategy,0,1,10,30%,0.8179645538330078
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,wallet,false_deceive,ava_strategy,0,1,10,30%,0.8171272277832031
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,wallet,false_deceive,ava_strategy,0,1,10,30%,1.0145587921142578
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,wallet,false_deceive,ava_strategy,0,1,10,30%,1.0145587921142578
Mistral-7B-Instruct-v0.3 × Qwen3-8B,wallet,false_deceive,ava_strategy,0,1,10,30%,1.014317512512207
Mistral-7B-Instruct-v0.3 × Qwen_Qwen3-14B,wallet,false_deceive,ava_strategy,0,1,10,30%,1.0145587921142578
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,wallet,false_deceive,ava_strategy,0,1,8,30%,0.4908304214477539
Qwen2.5-7B-Instruct × Qwen3-8B,wallet,false_deceive,ava_strategy,0,1,8,30%,0.49099063873291016
Qwen2.5-7B-Instruct × Qwen_Qwen3-14B,wallet,false_deceive,ava_strategy,0,1,8,30%,0.4908304214477539
Qwen3-8B × Qwen3-8B,wallet,false_deceive,ava_strategy,0,1,11,30%,-0.5114641189575195
Qwen3-8B × Qwen_Qwen3-14B,wallet,false_deceive,ava_strategy,0,1,11,30%,-0.5114641189575195
Qwen_Qwen3-14B × Qwen_Qwen3-14B,wallet,false_deceive,ava_strategy,0,1,12,30%,0.004588127136230469
allenai_OLMo-3-7B-Instruct × DeepSeek-R1-Distill-Llama-8B,wallet,false_deceive,ava_strategy,0,1,10,30%,-0.29481029510498047
allenai_OLMo-3-7B-Instruct × Meta-Llama-3-8B-Instruct,wallet,false_deceive,ava_strategy,0,1,10,30%,-0.29481029510498047
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.2,wallet,false_deceive,ava_strategy,0,1,10,30%,-0.29481029510498047
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.3,wallet,false_deceive,ava_strategy,0,1,10,30%,-0.29481029510498047
allenai_OLMo-3-7B-Instruct × Qwen2.5-7B-Instruct,wallet,false_deceive,ava_strategy,0,1,10,30%,-0.29481029510498047
allenai_OLMo-3-7B-Instruct × Qwen3-8B,wallet,false_deceive,ava_strategy,0,1,10,30%,-0.29481029510498047
allenai_OLMo-3-7B-Instruct × Qwen_Qwen3-14B,wallet,false_deceive,ava_strategy,0,1,10,30%,-0.29481029510498047
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,wallet,false_deceive,ava_strategy,0,1,10,30%,-0.29481029510498047
DeepSeek-R1-Distill-Llama-8B × DeepSeek-R1-Distill-Llama-8B,key,false_help,ava_strategy,0,1,10,30%,0.05024147033691406
DeepSeek-R1-Distill-Llama-8B × Meta-Llama-3-8B-Instruct,key,false_help,ava_strategy,0,1,10,30%,0.05024147033691406
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.2,key,false_help,ava_strategy,0,1,10,30%,0.05024147033691406
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.3,key,false_help,ava_strategy,0,1,10,30%,0.05024147033691406
DeepSeek-R1-Distill-Llama-8B × Qwen2.5-7B-Instruct,key,false_help,ava_strategy,0,1,10,30%,0.05024147033691406
DeepSeek-R1-Distill-Llama-8B × Qwen3-8B,key,false_help,ava_strategy,0,1,10,30%,0.05024147033691406
DeepSeek-R1-Distill-Llama-8B × Qwen_Qwen3-14B,key,false_help,ava_strategy,0,1,10,30%,0.05024147033691406
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,key,false_help,ava_strategy,0,1,10,30%,0.3974800109863281
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.2,key,false_help,ava_strategy,0,1,10,30%,0.3978233337402344
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.3,key,false_help,ava_strategy,0,1,10,30%,0.3978233337402344
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,key,false_help,ava_strategy,0,1,10,30%,0.3974800109863281
Meta-Llama-3-8B-Instruct × Qwen3-8B,key,false_help,ava_strategy,0,1,10,30%,0.3974800109863281
Meta-Llama-3-8B-Instruct × Qwen_Qwen3-14B,key,false_help,ava_strategy,0,1,10,30%,0.3974800109863281
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,key,false_help,ava_strategy,0,1,10,30%,1.0197391510009766
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,key,false_help,ava_strategy,0,1,10,30%,1.0197391510009766
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,key,false_help,ava_strategy,0,1,10,30%,1.0197391510009766
Mistral-7B-Instruct-v0.2 × Qwen3-8B,key,false_help,ava_strategy,0,1,10,30%,1.0197391510009766
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,key,false_help,ava_strategy,0,1,10,30%,1.0197391510009766
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,key,false_help,ava_strategy,0,1,10,30%,1.1254663467407227
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,key,false_help,ava_strategy,0,1,10,30%,1.1254663467407227
Mistral-7B-Instruct-v0.3 × Qwen3-8B,key,false_help,ava_strategy,0,1,10,30%,1.1254663467407227
Mistral-7B-Instruct-v0.3 × Qwen_Qwen3-14B,key,false_help,ava_strategy,0,1,10,30%,1.1254663467407227
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,key,false_help,ava_strategy,0,1,8,30%,0.5046234130859375
Qwen2.5-7B-Instruct × Qwen3-8B,key,false_help,ava_strategy,0,1,8,30%,0.5046234130859375
Qwen2.5-7B-Instruct × Qwen_Qwen3-14B,key,false_help,ava_strategy,0,1,8,30%,0.5046234130859375
Qwen3-8B × Qwen3-8B,key,false_help,ava_strategy,0,1,11,30%,-0.5297822952270508
Qwen3-8B × Qwen_Qwen3-14B,key,false_help,ava_strategy,0,1,11,30%,-0.5297822952270508
Qwen_Qwen3-14B × Qwen_Qwen3-14B,key,false_help,ava_strategy,0,1,12,30%,0.05523967742919922
allenai_OLMo-3-7B-Instruct × DeepSeek-R1-Distill-Llama-8B,key,false_help,ava_strategy,0,1,10,30%,-0.3432807922363281
allenai_OLMo-3-7B-Instruct × Meta-Llama-3-8B-Instruct,key,false_help,ava_strategy,0,1,10,30%,-0.3432807922363281
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.2,key,false_help,ava_strategy,0,1,10,30%,-0.3432807922363281
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.3,key,false_help,ava_strategy,0,1,10,30%,-0.3432807922363281
allenai_OLMo-3-7B-Instruct × Qwen2.5-7B-Instruct,key,false_help,ava_strategy,0,1,10,30%,-0.3432807922363281
allenai_OLMo-3-7B-Instruct × Qwen3-8B,key,false_help,ava_strategy,0,1,10,30%,-0.3432807922363281
allenai_OLMo-3-7B-Instruct × Qwen_Qwen3-14B,key,false_help,ava_strategy,0,1,10,30%,-0.3432807922363281
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,key,false_help,ava_strategy,0,1,10,30%,-0.3432807922363281
DeepSeek-R1-Distill-Llama-8B × DeepSeek-R1-Distill-Llama-8B,pkg,false_help,ava_strategy,0,1,10,30%,-0.03663063049316406
DeepSeek-R1-Distill-Llama-8B × Meta-Llama-3-8B-Instruct,pkg,false_help,ava_strategy,0,1,10,30%,-0.03663063049316406
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.2,pkg,false_help,ava_strategy,0,1,10,30%,-0.03663063049316406
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.3,pkg,false_help,ava_strategy,0,1,10,30%,-0.03663063049316406
DeepSeek-R1-Distill-Llama-8B × Qwen2.5-7B-Instruct,pkg,false_help,ava_strategy,0,1,10,30%,-0.03663063049316406
DeepSeek-R1-Distill-Llama-8B × Qwen3-8B,pkg,false_help,ava_strategy,0,1,10,30%,-0.03663063049316406
DeepSeek-R1-Distill-Llama-8B × Qwen_Qwen3-14B,pkg,false_help,ava_strategy,0,1,10,30%,-0.03663063049316406
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,pkg,false_help,ava_strategy,0,1,10,30%,0.37253856658935547
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.2,pkg,false_help,ava_strategy,0,1,10,30%,0.37253856658935547
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.3,pkg,false_help,ava_strategy,0,1,10,30%,0.3732337951660156
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,pkg,false_help,ava_strategy,0,1,10,30%,0.37253856658935547
Meta-Llama-3-8B-Instruct × Qwen3-8B,pkg,false_help,ava_strategy,0,1,10,30%,0.37253856658935547
Meta-Llama-3-8B-Instruct × Qwen_Qwen3-14B,pkg,false_help,ava_strategy,0,1,10,30%,0.37253856658935547
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,pkg,false_help,ava_strategy,0,1,10,30%,0.994105339050293
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,pkg,false_help,ava_strategy,0,1,10,30%,0.9940299987792969
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,pkg,false_help,ava_strategy,0,1,10,30%,0.994105339050293
Mistral-7B-Instruct-v0.2 × Qwen3-8B,pkg,false_help,ava_strategy,0,1,10,30%,0.994105339050293
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,pkg,false_help,ava_strategy,0,1,10,30%,0.994105339050293
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,pkg,false_help,ava_strategy,0,1,10,30%,1.075225830078125
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,pkg,false_help,ava_strategy,0,1,10,30%,1.075225830078125
Mistral-7B-Instruct-v0.3 × Qwen3-8B,pkg,false_help,ava_strategy,0,1,10,30%,1.075225830078125
Mistral-7B-Instruct-v0.3 × Qwen_Qwen3-14B,pkg,false_help,ava_strategy,0,1,10,30%,1.075225830078125
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,pkg,false_help,ava_strategy,0,1,8,30%,0.539362907409668
Qwen2.5-7B-Instruct × Qwen3-8B,pkg,false_help,ava_strategy,0,1,8,30%,0.539362907409668
Qwen2.5-7B-Instruct × Qwen_Qwen3-14B,pkg,false_help,ava_strategy,0,1,8,30%,0.539362907409668
Qwen3-8B × Qwen3-8B,pkg,false_help,ava_strategy,0,1,11,30%,-0.4338350296020508
Qwen3-8B × Qwen_Qwen3-14B,pkg,false_help,ava_strategy,0,1,11,30%,-0.4338350296020508
Qwen_Qwen3-14B × Qwen_Qwen3-14B,pkg,false_help,ava_strategy,0,1,12,30%,0.106842041015625
allenai_OLMo-3-7B-Instruct × DeepSeek-R1-Distill-Llama-8B,pkg,false_help,ava_strategy,0,1,10,30%,-0.17844867706298828
allenai_OLMo-3-7B-Instruct × Meta-Llama-3-8B-Instruct,pkg,false_help,ava_strategy,0,1,10,30%,-0.17844867706298828
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.2,pkg,false_help,ava_strategy,0,1,10,30%,-0.17844867706298828
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.3,pkg,false_help,ava_strategy,0,1,10,30%,-0.17844867706298828
allenai_OLMo-3-7B-Instruct × Qwen2.5-7B-Instruct,pkg,false_help,ava_strategy,0,1,10,30%,-0.17844867706298828
allenai_OLMo-3-7B-Instruct × Qwen3-8B,pkg,false_help,ava_strategy,0,1,10,30%,-0.17844867706298828
allenai_OLMo-3-7B-Instruct × Qwen_Qwen3-14B,pkg,false_help,ava_strategy,0,1,10,30%,-0.17876529693603516
allenai_OLMo-3-7B-Instruct × allenai_OLMo-3-7B-Instruct,pkg,false_help,ava_strategy,0,1,10,30%,-0.17844867706298828
DeepSeek-R1-Distill-Llama-8B × DeepSeek-R1-Distill-Llama-8B,wallet,false_help,ava_strategy,0,1,10,30%,0.008441925048828125
DeepSeek-R1-Distill-Llama-8B × Meta-Llama-3-8B-Instruct,wallet,false_help,ava_strategy,0,1,10,30%,0.008441925048828125
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.2,wallet,false_help,ava_strategy,0,1,10,30%,0.008441925048828125
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.3,wallet,false_help,ava_strategy,0,1,10,30%,0.008441925048828125
DeepSeek-R1-Distill-Llama-8B × Qwen2.5-7B-Instruct,wallet,false_help,ava_strategy,0,1,10,30%,0.008441925048828125
DeepSeek-R1-Distill-Llama-8B × Qwen3-8B,wallet,false_help,ava_strategy,0,1,10,30%,0.008441925048828125
DeepSeek-R1-Distill-Llama-8B × Qwen_Qwen3-14B,wallet,false_help,ava_strategy,0,1,10,30%,0.008441925048828125
Meta-Llama-3-8B-Instruct × Meta-Llama-3-8B-Instruct,wallet,false_help,ava_strategy,0,1,10,30%,0.3282604217529297
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.2,wallet,false_help,ava_strategy,0,1,10,30%,0.3282604217529297
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.3,wallet,false_help,ava_strategy,0,1,10,30%,0.3282604217529297
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,wallet,false_help,ava_strategy,0,1,10,30%,0.3282604217529297
Meta-Llama-3-8B-Instruct × Qwen3-8B,wallet,false_help,ava_strategy,0,1,10,30%,0.3276042938232422
Meta-Llama-3-8B-Instruct × Qwen_Qwen3-14B,wallet,false_help,ava_strategy,0,1,10,30%,0.3282604217529297
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.2,wallet,false_help,ava_strategy,0,1,10,30%,1.0613574981689453
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,wallet,false_help,ava_strategy,0,1,10,30%,1.0613574981689453
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,wallet,false_help,ava_strategy,0,1,10,30%,1.0613574981689453
Mistral-7B-Instruct-v0.2 × Qwen3-8B,wallet,false_help,ava_strategy,0,1,10,30%,1.0613574981689453
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,wallet,false_help,ava_strategy,0,1,10,30%,1.0613574981689453
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.3,wallet,false_help,ava_strategy,0,1,10,30%,1.1268463134765625
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,wallet,false_help,ava_strategy,0,1,10,30%,1.1268463134765625
Mistral-7B-Instruct-v0.3 × Qwen3-8B,wallet,false_help,ava_strategy,0,1,10,30%,1.1268463134765625
Mistral-7B-Instruct-v0.3 × Qwen_Qwen3-14B,wallet,false_help,ava_strategy,0,1,10,30%,1.1262006759643555
Qwen2.5-7B-Instruct × Qwen2.5-7B-Instruct,wallet,false_help,ava_strategy,0,1,8,30%,0.5084543228149414
Qwen2.5-7B-Instruct × Qwen3-8B,wallet,false_help,ava_strategy,0,1,8,30%,0.5084543228149414
Qwen2.5-7B-Instruct × Qwen_Qwen3-14B,wallet,false_help,ava_strategy,0,1,8,30%,0.5084543228149414
Qwen3-8B × Qwen3-8B,wallet,false_help,ava_strategy,0,1,11,30%,-0.5010347366333008
Qwen3-8B × Qwen_Qwen3-14B,wallet,false_help,ava_strategy,0,1,11,30%,-0.5010347366333008
