pattern,episode,belief,item,true_location,other_location,scenario,mia_opening,n_turns,dialogue,final_choice,correct
Are you looking for X?,13,false_belief,camera,shelf,bag,Two people are in a studio with a bag and a shelf. A camera has been placed on one of these two places.,Are you looking for the camera? It's on the shelf.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the camera? It's on the shelf.
[[Turn 1] [Ava Thompson]: Okay, I'll check the shelf then. LEAVE",shelf,1
Are you looking for X?,13,ignorance,camera,shelf,bag,Two people are in a studio with a bag and a shelf. A camera has been placed on one of these two places.,Are you looking for the camera? It's on the shelf.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the camera? It's on the shelf.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the shelf. LEAVE",shelf,1
Are you looking for X?,13,shared_truth,camera,shelf,bag,Two people are in a studio with a bag and a shelf. A camera has been placed on one of these two places.,Are you looking for the camera? It's on the shelf.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the camera? It's on the shelf.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the shelf. LEAVE",shelf,1
Are you looking for X?,14,false_belief,candle,mantle,side table,Two people are in a living room with a mantle and a side table. A candle has been placed on one of these two places.,Are you looking for the candle? It's on the mantle.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the candle? It's on the mantle.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the mantle. LEAVE",mantle,1
Are you looking for X?,14,ignorance,candle,mantle,side table,Two people are in a living room with a mantle and a side table. A candle has been placed on one of these two places.,Are you looking for the candle? It's on the mantle.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the candle? It's on the mantle.
[[Turn 1] [Ava Thompson]: Thanks! I'll check the mantle. LEAVE",mantle,1
Are you looking for X?,14,shared_truth,candle,mantle,side table,Two people are in a living room with a mantle and a side table. A candle has been placed on one of these two places.,Are you looking for the candle? It's on the mantle.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the candle? It's on the mantle.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the mantle. LEAVE.",mantle,1
Are you looking for X?,15,false_belief,chain,hook,box,Two people are in a garage with a hook and a box. A chain has been placed on one of these two places.,Are you looking for the chain? It's on the hook.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the chain? It's on the hook.
[[Turn 1] [Ava Thompson]: I thought it was on the box, but I'll check the hook. LEAVE",hook,1
Are you looking for X?,15,ignorance,chain,hook,box,Two people are in a garage with a hook and a box. A chain has been placed on one of these two places.,Are you looking for the chain? It's on the hook.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the chain? It's on the hook.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the hook. LEAVE",hook,1
Are you looking for X?,15,shared_truth,chain,hook,box,Two people are in a garage with a hook and a box. A chain has been placed on one of these two places.,Are you looking for the chain? It's on the hook.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the chain? It's on the hook.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the hook then. LEAVE.",hook,1
Are you looking for X?,16,false_belief,chalk,box,chalk tray,Two people are in a classroom with a chalk tray and a box. A piece of chalk has been placed in one of these two places.,Are you looking for the chalk? It's in the box.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the chalk? It's in the box.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the box. LEAVE",box,1
Are you looking for X?,16,ignorance,chalk,box,chalk tray,Two people are in a classroom with a chalk tray and a box. A piece of chalk has been placed in one of these two places.,Are you looking for the chalk? It's in the box.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the chalk? It's in the box.
[[Turn 1] [Ava Thompson]: Thanks, I'll look in the box. LEAVE",box,1
Are you looking for X?,16,shared_truth,chalk,box,chalk tray,Two people are in a classroom with a chalk tray and a box. A piece of chalk has been placed in one of these two places.,Are you looking for the chalk? It's in the box.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the chalk? It's in the box.
[[Turn 1] [Ava Thompson]: Thanks, I'll look in the box. LEAVE",box,1
Are you looking for X?,17,false_belief,charger,desk,bed,Two people are in a dorm room with a desk and a bed. A phone charger has been left on one of these two places.,Are you looking for the charger? It's on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the charger? It's on the desk.
[[Turn 1] [Ava Thompson]: I thought it was on the bed, but I'll check the desk. LEAVE.",desk,1
Are you looking for X?,17,ignorance,charger,desk,bed,Two people are in a dorm room with a desk and a bed. A phone charger has been left on one of these two places.,Are you looking for the charger? It's on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the charger? It's on the desk.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the desk. LEAVE.",desk,1
Are you looking for X?,17,shared_truth,charger,desk,bed,Two people are in a dorm room with a desk and a bed. A phone charger has been left on one of these two places.,Are you looking for the charger? It's on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the charger? It's on the desk.
[[Turn 1] [Ava Thompson]: Thanks, I'll grab it from the desk. LEAVE",desk,1
Are you looking for X?,18,false_belief,clip,desk,paper tray,Two people are in an office with a desk and a paper tray. A paper clip has been placed on one of these two places.,Are you looking for the clip? It's on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the clip? It's on the desk.
[[Turn 1] [Ava Thompson]: I thought it was on the tray, but I'll check the desk. LEAVE",desk,1
Are you looking for X?,18,ignorance,clip,desk,paper tray,Two people are in an office with a desk and a paper tray. A paper clip has been placed on one of these two places.,Are you looking for the clip? It's on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the clip? It's on the desk.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the desk. LEAVE",desk,1
Are you looking for X?,18,shared_truth,clip,desk,paper tray,Two people are in an office with a desk and a paper tray. A paper clip has been placed on one of these two places.,Are you looking for the clip? It's on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the clip? It's on the desk.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the desk then. LEAVE.",desk,1
Are you looking for X?,19,false_belief,clipboard,desk,shelf,Two people are in a clinic with a shelf and a desk. A clipboard has been placed on one of these two places.,Are you looking for the clipboard? It's on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the clipboard? It's on the desk.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the desk. LEAVE.",desk,1
Are you looking for X?,19,ignorance,clipboard,desk,shelf,Two people are in a clinic with a shelf and a desk. A clipboard has been placed on one of these two places.,Are you looking for the clipboard? It's on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the clipboard? It's on the desk.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the desk then. LEAVE",desk,1
Are you looking for X?,19,shared_truth,clipboard,desk,shelf,Two people are in a clinic with a shelf and a desk. A clipboard has been placed on one of these two places.,Are you looking for the clipboard? It's on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the clipboard? It's on the desk.
[[Turn 1] [Ava Thompson]: Thank you, I will check the desk then. LEAVE",desk,1
Are you looking for X?,1,false_belief,badge,desk,hook by the door,Two people are in an office with a desk and a hook by the door. A badge has been left on one of these two places.,Are you looking for the badge? It's on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the badge? It's on the desk.
[[Turn 1] [Ava Thompson]: Thanks, I thought it was on the hook, but I'll check the desk. LEAVE.",desk,1
Are you looking for X?,1,ignorance,badge,desk,hook by the door,Two people are in an office with a desk and a hook by the door. A badge has been left on one of these two places.,Are you looking for the badge? It's on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the badge? It's on the desk.
[[Turn 1] [Ava Thompson]: Thanks, I'll look on the desk. LEAVE.",desk,1
Are you looking for X?,1,shared_truth,badge,desk,hook by the door,Two people are in an office with a desk and a hook by the door. A badge has been left on one of these two places.,Are you looking for the badge? It's on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the badge? It's on the desk.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the desk. LEAVE",desk,1
Are you looking for X?,20,false_belief,cloth,basket,drying rack,Two people are in a laundry room with a drying rack and a basket. A cloth has been placed on one of these two places.,Are you looking for the cloth? It's right there on the basket.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the cloth? It's right there on the basket.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the basket. LEAVE",basket,1
Are you looking for X?,20,ignorance,cloth,basket,drying rack,Two people are in a laundry room with a drying rack and a basket. A cloth has been placed on one of these two places.,Are you looking for the cloth? It's right there on the basket.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the cloth? It's right there on the basket.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the basket. LEAVE.",basket,1
Are you looking for X?,20,shared_truth,cloth,basket,drying rack,Two people are in a laundry room with a drying rack and a basket. A cloth has been placed on one of these two places.,Are you looking for the cloth? It's right there on the basket.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the cloth? It's right there on the basket.
[[Turn 1] [Ava Thompson]: Thank you, I will check the basket. LEAVE",basket,1
Are you looking for X?,21,false_belief,coin,pocket,jar,Two people are in a room with a jar and a coat with a pocket. A coin has been placed in one of these two places.,Are you looking for the coin? It's in the coat pocket.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the coin? It's in the coat pocket.
[[Turn 1] [Ava Thompson]: Thanks, but I'm going to check the jar. LEAVE.",jar,0
Are you looking for X?,21,ignorance,coin,pocket,jar,Two people are in a room with a jar and a coat with a pocket. A coin has been placed in one of these two places.,Are you looking for the coin? It's in the coat pocket.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the coin? It's in the coat pocket.
[[Turn 1] [Ava Thompson]: Got it, I'll look in the coat pocket. LEAVE",pocket,1
Are you looking for X?,21,shared_truth,coin,pocket,jar,Two people are in a room with a jar and a coat with a pocket. A coin has been placed in one of these two places.,Are you looking for the coin? It's in the coat pocket.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the coin? It's in the coat pocket.
[[Turn 1] [Ava Thompson]: I'll check the coat pocket then. LEAVE",pocket,1
Are you looking for X?,22,false_belief,comb,drawer,shelf,Two people are in a bathroom with a drawer and a shelf. A comb has been placed on one of these two places.,Are you looking for the comb? It's on the drawer.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the comb? It's on the drawer.
[[Turn 1] [Ava Thompson]: Thanks, I thought it was on the shelf, but I'll check the drawer. LEAVE.",drawer,1
Are you looking for X?,22,ignorance,comb,drawer,shelf,Two people are in a bathroom with a drawer and a shelf. A comb has been placed on one of these two places.,Are you looking for the comb? It's on the drawer.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the comb? It's on the drawer.
[[Turn 1] [Ava Thompson]: I'll check the drawer then. LEAVE",drawer,1
Are you looking for X?,22,shared_truth,comb,drawer,shelf,Two people are in a bathroom with a drawer and a shelf. A comb has been placed on one of these two places.,Are you looking for the comb? It's on the drawer.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the comb? It's on the drawer.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the drawer. LEAVE.",drawer,1
Are you looking for X?,23,false_belief,cord,basket,desk,Two people are in a room with a desk and a basket. A power cord has been left on one of these two places.,Are you looking for the cord? It's on the basket.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the cord? It's on the basket.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the basket. LEAVE",basket,1
Are you looking for X?,23,ignorance,cord,basket,desk,Two people are in a room with a desk and a basket. A power cord has been left on one of these two places.,Are you looking for the cord? It's on the basket.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the cord? It's on the basket.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the basket. LEAVE",basket,1
Are you looking for X?,23,shared_truth,cord,basket,desk,Two people are in a room with a desk and a basket. A power cord has been left on one of these two places.,Are you looking for the cord? It's on the basket.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the cord? It's on the basket.
[[Turn 1] [Ava Thompson]: Thanks, I'll look in the basket. LEAVE.",basket,1
Are you looking for X?,24,false_belief,cup,shelf,table,Two people are in a break room with a shelf and a table. A cup has been placed on one of these two places.,Are you looking for the cup? It's on the shelf.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the cup? It's on the shelf.
[[Turn 1] [Ava Thompson]: Thanks, I thought it was on the table. I'll check the shelf. LEAVE.",shelf,1
Are you looking for X?,24,ignorance,cup,shelf,table,Two people are in a break room with a shelf and a table. A cup has been placed on one of these two places.,Are you looking for the cup? It's on the shelf.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the cup? It's on the shelf.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the shelf. LEAVE",shelf,1
Are you looking for X?,24,shared_truth,cup,shelf,table,Two people are in a break room with a shelf and a table. A cup has been placed on one of these two places.,Are you looking for the cup? It's on the shelf.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the cup? It's on the shelf.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the shelf. LEAVE.",shelf,1
Are you looking for X?,25,false_belief,dice,table,cup,Two people are in a game room with a cup and a table. A pair of dice has been placed on one of these two places.,Are you looking for the dice? It's on the table.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the dice? It's on the table.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the table then. LEAVE",table,1
Are you looking for X?,25,ignorance,dice,table,cup,Two people are in a game room with a cup and a table. A pair of dice has been placed on one of these two places.,Are you looking for the dice? It's on the table.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the dice? It's on the table.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the table. LEAVE.",table,1
Are you looking for X?,25,shared_truth,dice,table,cup,Two people are in a game room with a cup and a table. A pair of dice has been placed on one of these two places.,Are you looking for the dice? It's on the table.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the dice? It's on the table.
[[Turn 1] [Ava Thompson]: Thanks, I'll look on the table. LEAVE",table,1
Are you looking for X?,26,false_belief,drill,bench,tool case,Two people are in a workshop with a workbench and a tool case. A drill has been placed on one of these two places.,Are you looking for the drill? It's on the workbench.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the drill? It's on the workbench.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the workbench then. LEAVE.",bench,1
Are you looking for X?,26,ignorance,drill,bench,tool case,Two people are in a workshop with a workbench and a tool case. A drill has been placed on one of these two places.,Are you looking for the drill? It's on the workbench.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the drill? It's on the workbench.
[[Turn 1] [Ava Thompson]: Great, I'll check the workbench. LEAVE",bench,1
Are you looking for X?,26,shared_truth,drill,bench,tool case,Two people are in a workshop with a workbench and a tool case. A drill has been placed on one of these two places.,Are you looking for the drill? It's on the workbench.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the drill? It's on the workbench.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the workbench then. LEAVE",bench,1
Are you looking for X?,27,false_belief,fan,shelf,floor,Two people are in a storage room with a shelf and the floor. A fan has been placed on one of these two places.,Are you looking for the fan? It's on the shelf.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the fan? It's on the shelf.
[[Turn 1] [Ava Thompson]: Thanks, but I'm pretty sure it's on the floor, so I'll check there. LEAVE",floor,0
Are you looking for X?,27,ignorance,fan,shelf,floor,Two people are in a storage room with a shelf and the floor. A fan has been placed on one of these two places.,Are you looking for the fan? It's on the shelf.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the fan? It's on the shelf.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the shelf. LEAVE",shelf,1
Are you looking for X?,27,shared_truth,fan,shelf,floor,Two people are in a storage room with a shelf and the floor. A fan has been placed on one of these two places.,Are you looking for the fan? It's on the shelf.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the fan? It's on the shelf.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the shelf. LEAVE",shelf,1
Are you looking for X?,28,false_belief,film,shelf,drawer,Two people are in a darkroom with a shelf and a drawer. A roll of film has been placed on one of these two places.,Are you looking for the film? It's on the shelf.,4,"[[Turn 0] [Mia Sanders]: Are you looking for the film? It's on the shelf.
[[Turn 1] [Ava Thompson]: Are you sure? I thought it was in the drawer.
[[Turn 2] [Mia Sanders]: I'm positive. It's right there on the shelf.
[[Turn 3] [Ava Thompson]: Okay, I'll look on the shelf then. LEAVE",shelf,1
Are you looking for X?,28,ignorance,film,shelf,drawer,Two people are in a darkroom with a shelf and a drawer. A roll of film has been placed on one of these two places.,Are you looking for the film? It's on the shelf.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the film? It's on the shelf.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the shelf. LEAVE",shelf,1
Are you looking for X?,28,shared_truth,film,shelf,drawer,Two people are in a darkroom with a shelf and a drawer. A roll of film has been placed on one of these two places.,Are you looking for the film? It's on the shelf.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the film? It's on the shelf.
[[Turn 1] [Ava Thompson]: Great, I'll check the shelf. LEAVE.",shelf,1
Are you looking for X?,29,false_belief,flag,pole,storage box,Two people are at a field with a flag pole and a storage box. A flag has been placed at one of these two places.,Are you looking for the flag? It's on the pole.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the flag? It's on the pole.
[[Turn 1] [Ava Thompson]: Thanks, but I'm pretty sure it's on the box, so I'm going to look there. LEAVE",storage box,0
Are you looking for X?,29,ignorance,flag,pole,storage box,Two people are at a field with a flag pole and a storage box. A flag has been placed at one of these two places.,Are you looking for the flag? It's on the pole.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the flag? It's on the pole.
[[Turn 1] [Ava Thompson]: I'll look at the flag pole then. LEAVE.",pole,1
Are you looking for X?,29,shared_truth,flag,pole,storage box,Two people are at a field with a flag pole and a storage box. A flag has been placed at one of these two places.,Are you looking for the flag? It's on the pole.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the flag? It's on the pole.
[[Turn 1] [Ava Thompson]: That's what I thought. I will check the pole. LEAVE.",pole,1
Are you looking for X?,2,false_belief,ball,garage,yard,Two people are at a house with a yard and a garage. A ball has been left in one of these two places.,Are you looking for the ball? It's in the garage.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the ball? It's in the garage.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the garage. LEAVE",garage,1
Are you looking for X?,2,ignorance,ball,garage,yard,Two people are at a house with a yard and a garage. A ball has been left in one of these two places.,Are you looking for the ball? It's in the garage.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the ball? It's in the garage.
[[Turn 1] [Ava Thompson]: Thanks, I'll go check the garage then. LEAVE",garage,1
Are you looking for X?,2,shared_truth,ball,garage,yard,Two people are at a house with a yard and a garage. A ball has been left in one of these two places.,Are you looking for the ball? It's in the garage.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the ball? It's in the garage.
[[Turn 1] [Ava Thompson]: Perfect, I'll check the garage then. LEAVE.",garage,1
Are you looking for X?,30,false_belief,flashlight,drawer,shelf,Two people are in a garage with a drawer and a shelf. A flashlight has been placed on one of these two places.,Are you looking for the flashlight? It's on the drawer.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the flashlight? It's on the drawer.
[[Turn 1] [Ava Thompson]: Okay, I'll check the drawer then. LEAVE.",drawer,1
Are you looking for X?,30,ignorance,flashlight,drawer,shelf,Two people are in a garage with a drawer and a shelf. A flashlight has been placed on one of these two places.,Are you looking for the flashlight? It's on the drawer.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the flashlight? It's on the drawer.
[[Turn 1] [Ava Thompson]: I'll check the drawer. LEAVE",drawer,1
Are you looking for X?,30,shared_truth,flashlight,drawer,shelf,Two people are in a garage with a drawer and a shelf. A flashlight has been placed on one of these two places.,Are you looking for the flashlight? It's on the drawer.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the flashlight? It's on the drawer.
[[Turn 1] [Ava Thompson]: Great, I will check the drawer then. LEAVE.",drawer,1
Are you looking for X?,31,false_belief,flask,locker,desk,Two people are in a lab with a desk and a locker. A flask has been placed on one of these two places.,Are you looking for the flask? It's on the locker.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the flask? It's on the locker.
[[Turn 1] [Ava Thompson]: Okay, I'll check the locker then. LEAVE",locker,1
Are you looking for X?,31,ignorance,flask,locker,desk,Two people are in a lab with a desk and a locker. A flask has been placed on one of these two places.,Are you looking for the flask? It's on the locker.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the flask? It's on the locker.
[[Turn 1] [Ava Thompson]: Thanks, I will check the locker. LEAVE",locker,1
Are you looking for X?,31,shared_truth,flask,locker,desk,Two people are in a lab with a desk and a locker. A flask has been placed on one of these two places.,Are you looking for the flask? It's on the locker.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the flask? It's on the locker.
[[Turn 1] [Ava Thompson]: Thanks, I will check the locker then. LEAVE.",locker,1
Are you looking for X?,32,false_belief,fork,counter,drawer,Two people are in a kitchen with a drawer and a counter. A fork has been left on one of these two places.,Are you looking for the fork? It's on the counter.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the fork? It's on the counter.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the counter. LEAVE",counter,1
Are you looking for X?,32,ignorance,fork,counter,drawer,Two people are in a kitchen with a drawer and a counter. A fork has been left on one of these two places.,Are you looking for the fork? It's on the counter.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the fork? It's on the counter.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the counter. LEAVE",counter,1
Are you looking for X?,32,shared_truth,fork,counter,drawer,Two people are in a kitchen with a drawer and a counter. A fork has been left on one of these two places.,Are you looking for the fork? It's on the counter.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the fork? It's on the counter.
[[Turn 1] [Ava Thompson]: Thank you, I'll look on the counter. LEAVE.",counter,1
Are you looking for X?,33,false_belief,frame,wall,desk,Two people are in a room with a wall and a desk. A picture frame has been placed on one of these two places.,Are you looking for the frame? It's right there on the wall.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the frame? It's right there on the wall.
[[Turn 1] [Ava Thompson]: I thought it was on the desk, but I'll check the wall. LEAVE",wall,1
Are you looking for X?,33,ignorance,frame,wall,desk,Two people are in a room with a wall and a desk. A picture frame has been placed on one of these two places.,Are you looking for the frame? It's right there on the wall.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the frame? It's right there on the wall.
[[Turn 1] [Ava Thompson]: I'll check the wall then. LEAVE",wall,1
Are you looking for X?,33,shared_truth,frame,wall,desk,Two people are in a room with a wall and a desk. A picture frame has been placed on one of these two places.,Are you looking for the frame? It's right there on the wall.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the frame? It's right there on the wall.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the wall. LEAVE",wall,1
Are you looking for X?,34,false_belief,glasses,shelf,counter,Two people are in a kitchen with a counter and a shelf. A pair of glasses has been left on one of these two places.,Are you looking for the glasses? It's right there on the shelf.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the glasses? It's right there on the shelf.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the shelf. LEAVE",shelf,1
Are you looking for X?,34,ignorance,glasses,shelf,counter,Two people are in a kitchen with a counter and a shelf. A pair of glasses has been left on one of these two places.,Are you looking for the glasses? It's right there on the shelf.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the glasses? It's right there on the shelf.
[[Turn 1] [Ava Thompson]: Thanks, I'll look on the shelf. LEAVE.",shelf,1
