pair,scenario,condition,correct
Qwen2.5-7B-Instruct × Qwen_Qwen3-14B,badge,false_deceive,0
Qwen2.5-7B-Instruct × allenai_OLMo-3-7B-Instruct,badge,false_deceive,0
allenai_OLMo-3-7B-Instruct × Meta-Llama-3-8B-Instruct,badge,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.2,badge,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.3,badge,false_deceive,1
allenai_OLMo-3-7B-Instruct × Qwen2.5-7B-Instruct,badge,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen3-8B,badge,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen_Qwen3-14B,badge,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.2,ball,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.3,ball,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen2.5-7B-Instruct,ball,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen3-8B,ball,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.2,ball,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.3,ball,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,ball,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen3-8B,ball,false_deceive,0
Meta-Llama-3-8B-Instruct × allenai_OLMo-3-7B-Instruct,ball,false_deceive,0
Mistral-7B-Instruct-v0.2 × Meta-Llama-3-8B-Instruct,ball,false_deceive,0
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,ball,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,ball,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen3-8B,ball,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,ball,false_deceive,0
Mistral-7B-Instruct-v0.2 × allenai_OLMo-3-7B-Instruct,ball,false_deceive,0
Mistral-7B-Instruct-v0.3 × Meta-Llama-3-8B-Instruct,ball,false_deceive,0
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.2,ball,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,ball,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen3-8B,ball,false_deceive,1
Mistral-7B-Instruct-v0.3 × Qwen_Qwen3-14B,ball,false_deceive,0
Mistral-7B-Instruct-v0.3 × allenai_OLMo-3-7B-Instruct,ball,false_deceive,0
Qwen2.5-7B-Instruct × Meta-Llama-3-8B-Instruct,ball,false_deceive,1
Qwen2.5-7B-Instruct × Mistral-7B-Instruct-v0.2,ball,false_deceive,0
Qwen2.5-7B-Instruct × Qwen3-8B,ball,false_deceive,0
Qwen2.5-7B-Instruct × Qwen_Qwen3-14B,ball,false_deceive,0
Qwen2.5-7B-Instruct × allenai_OLMo-3-7B-Instruct,ball,false_deceive,0
allenai_OLMo-3-7B-Instruct × Meta-Llama-3-8B-Instruct,ball,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.2,ball,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.3,ball,false_deceive,1
allenai_OLMo-3-7B-Instruct × Qwen2.5-7B-Instruct,ball,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen3-8B,ball,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen_Qwen3-14B,ball,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.2,belt,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.3,belt,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen2.5-7B-Instruct,belt,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen3-8B,belt,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.2,belt,false_deceive,1
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.3,belt,false_deceive,1
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,belt,false_deceive,1
Meta-Llama-3-8B-Instruct × Qwen3-8B,belt,false_deceive,1
Meta-Llama-3-8B-Instruct × allenai_OLMo-3-7B-Instruct,belt,false_deceive,0
Mistral-7B-Instruct-v0.2 × Meta-Llama-3-8B-Instruct,belt,false_deceive,0
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,belt,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,belt,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen3-8B,belt,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,belt,false_deceive,0
Mistral-7B-Instruct-v0.2 × allenai_OLMo-3-7B-Instruct,belt,false_deceive,0
Mistral-7B-Instruct-v0.3 × Meta-Llama-3-8B-Instruct,belt,false_deceive,0
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.2,belt,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,belt,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen3-8B,belt,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen_Qwen3-14B,belt,false_deceive,0
Mistral-7B-Instruct-v0.3 × allenai_OLMo-3-7B-Instruct,belt,false_deceive,0
Qwen2.5-7B-Instruct × Meta-Llama-3-8B-Instruct,belt,false_deceive,1
Qwen2.5-7B-Instruct × Mistral-7B-Instruct-v0.2,belt,false_deceive,0
Qwen2.5-7B-Instruct × Qwen3-8B,belt,false_deceive,0
Qwen2.5-7B-Instruct × Qwen_Qwen3-14B,belt,false_deceive,0
Qwen2.5-7B-Instruct × allenai_OLMo-3-7B-Instruct,belt,false_deceive,0
allenai_OLMo-3-7B-Instruct × Meta-Llama-3-8B-Instruct,belt,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.2,belt,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.3,belt,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen2.5-7B-Instruct,belt,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen3-8B,belt,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen_Qwen3-14B,belt,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.2,binder,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.3,binder,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen2.5-7B-Instruct,binder,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen3-8B,binder,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.2,binder,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.3,binder,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,binder,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen3-8B,binder,false_deceive,0
Meta-Llama-3-8B-Instruct × allenai_OLMo-3-7B-Instruct,binder,false_deceive,0
Mistral-7B-Instruct-v0.2 × Meta-Llama-3-8B-Instruct,binder,false_deceive,0
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,binder,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,binder,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen3-8B,binder,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,binder,false_deceive,0
Mistral-7B-Instruct-v0.2 × allenai_OLMo-3-7B-Instruct,binder,false_deceive,0
Mistral-7B-Instruct-v0.3 × Meta-Llama-3-8B-Instruct,binder,false_deceive,1
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.2,binder,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,binder,false_deceive,1
Mistral-7B-Instruct-v0.3 × Qwen3-8B,binder,false_deceive,1
Mistral-7B-Instruct-v0.3 × Qwen_Qwen3-14B,binder,false_deceive,0
Mistral-7B-Instruct-v0.3 × allenai_OLMo-3-7B-Instruct,binder,false_deceive,0
Qwen2.5-7B-Instruct × Meta-Llama-3-8B-Instruct,binder,false_deceive,0
Qwen2.5-7B-Instruct × Mistral-7B-Instruct-v0.2,binder,false_deceive,0
Qwen2.5-7B-Instruct × Qwen3-8B,binder,false_deceive,0
Qwen2.5-7B-Instruct × Qwen_Qwen3-14B,binder,false_deceive,1
Qwen2.5-7B-Instruct × allenai_OLMo-3-7B-Instruct,binder,false_deceive,0
allenai_OLMo-3-7B-Instruct × Meta-Llama-3-8B-Instruct,binder,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.2,binder,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.3,binder,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen2.5-7B-Instruct,binder,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen3-8B,binder,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen_Qwen3-14B,binder,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.2,blanket,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.3,blanket,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen2.5-7B-Instruct,blanket,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen3-8B,blanket,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.2,blanket,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.3,blanket,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,blanket,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen3-8B,blanket,false_deceive,1
Meta-Llama-3-8B-Instruct × allenai_OLMo-3-7B-Instruct,blanket,false_deceive,0
Mistral-7B-Instruct-v0.2 × Meta-Llama-3-8B-Instruct,blanket,false_deceive,0
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,blanket,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,blanket,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen3-8B,blanket,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,blanket,false_deceive,0
Mistral-7B-Instruct-v0.2 × allenai_OLMo-3-7B-Instruct,blanket,false_deceive,0
Mistral-7B-Instruct-v0.3 × Meta-Llama-3-8B-Instruct,blanket,false_deceive,1
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.2,blanket,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,blanket,false_deceive,1
Mistral-7B-Instruct-v0.3 × Qwen3-8B,blanket,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen_Qwen3-14B,blanket,false_deceive,0
Mistral-7B-Instruct-v0.3 × allenai_OLMo-3-7B-Instruct,blanket,false_deceive,0
Qwen2.5-7B-Instruct × Meta-Llama-3-8B-Instruct,blanket,false_deceive,1
Qwen2.5-7B-Instruct × Mistral-7B-Instruct-v0.2,blanket,false_deceive,0
Qwen2.5-7B-Instruct × Qwen3-8B,blanket,false_deceive,0
Qwen2.5-7B-Instruct × Qwen_Qwen3-14B,blanket,false_deceive,0
Qwen2.5-7B-Instruct × allenai_OLMo-3-7B-Instruct,blanket,false_deceive,0
allenai_OLMo-3-7B-Instruct × Meta-Llama-3-8B-Instruct,blanket,false_deceive,1
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.2,blanket,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.3,blanket,false_deceive,1
allenai_OLMo-3-7B-Instruct × Qwen2.5-7B-Instruct,blanket,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen3-8B,blanket,false_deceive,1
allenai_OLMo-3-7B-Instruct × Qwen_Qwen3-14B,blanket,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.2,book,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.3,book,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen2.5-7B-Instruct,book,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen3-8B,book,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.2,book,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.3,book,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,book,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen3-8B,book,false_deceive,1
Meta-Llama-3-8B-Instruct × allenai_OLMo-3-7B-Instruct,book,false_deceive,0
Mistral-7B-Instruct-v0.2 × Meta-Llama-3-8B-Instruct,book,false_deceive,0
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,book,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,book,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen3-8B,book,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,book,false_deceive,0
Mistral-7B-Instruct-v0.2 × allenai_OLMo-3-7B-Instruct,book,false_deceive,0
Mistral-7B-Instruct-v0.3 × Meta-Llama-3-8B-Instruct,book,false_deceive,0
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.2,book,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,book,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen3-8B,book,false_deceive,1
Mistral-7B-Instruct-v0.3 × Qwen_Qwen3-14B,book,false_deceive,0
Mistral-7B-Instruct-v0.3 × allenai_OLMo-3-7B-Instruct,book,false_deceive,0
Qwen2.5-7B-Instruct × Meta-Llama-3-8B-Instruct,book,false_deceive,0
Qwen2.5-7B-Instruct × Mistral-7B-Instruct-v0.2,book,false_deceive,0
Qwen2.5-7B-Instruct × Qwen3-8B,book,false_deceive,0
Qwen2.5-7B-Instruct × Qwen_Qwen3-14B,book,false_deceive,0
Qwen2.5-7B-Instruct × allenai_OLMo-3-7B-Instruct,book,false_deceive,0
allenai_OLMo-3-7B-Instruct × Meta-Llama-3-8B-Instruct,book,false_deceive,1
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.2,book,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.3,book,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen2.5-7B-Instruct,book,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen3-8B,book,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen_Qwen3-14B,book,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.2,bottle,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.3,bottle,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen2.5-7B-Instruct,bottle,false_deceive,1
DeepSeek-R1-Distill-Llama-8B × Qwen3-8B,bottle,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.2,bottle,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.3,bottle,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,bottle,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen3-8B,bottle,false_deceive,0
Meta-Llama-3-8B-Instruct × allenai_OLMo-3-7B-Instruct,bottle,false_deceive,0
Mistral-7B-Instruct-v0.2 × Meta-Llama-3-8B-Instruct,bottle,false_deceive,0
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,bottle,false_deceive,1
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,bottle,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen3-8B,bottle,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,bottle,false_deceive,0
Mistral-7B-Instruct-v0.2 × allenai_OLMo-3-7B-Instruct,bottle,false_deceive,0
Mistral-7B-Instruct-v0.3 × Meta-Llama-3-8B-Instruct,bottle,false_deceive,0
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.2,bottle,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,bottle,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen3-8B,bottle,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen_Qwen3-14B,bottle,false_deceive,0
Mistral-7B-Instruct-v0.3 × allenai_OLMo-3-7B-Instruct,bottle,false_deceive,0
Qwen2.5-7B-Instruct × Meta-Llama-3-8B-Instruct,bottle,false_deceive,1
Qwen2.5-7B-Instruct × Mistral-7B-Instruct-v0.2,bottle,false_deceive,0
Qwen2.5-7B-Instruct × Qwen3-8B,bottle,false_deceive,0
Qwen2.5-7B-Instruct × Qwen_Qwen3-14B,bottle,false_deceive,0
Qwen2.5-7B-Instruct × allenai_OLMo-3-7B-Instruct,bottle,false_deceive,0
allenai_OLMo-3-7B-Instruct × Meta-Llama-3-8B-Instruct,bottle,false_deceive,1
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.2,bottle,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.3,bottle,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen2.5-7B-Instruct,bottle,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen3-8B,bottle,false_deceive,1
allenai_OLMo-3-7B-Instruct × Qwen_Qwen3-14B,bottle,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.2,bowl,false_deceive,1
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.3,bowl,false_deceive,1
DeepSeek-R1-Distill-Llama-8B × Qwen2.5-7B-Instruct,bowl,false_deceive,1
DeepSeek-R1-Distill-Llama-8B × Qwen3-8B,bowl,false_deceive,1
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.2,bowl,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.3,bowl,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,bowl,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen3-8B,bowl,false_deceive,0
Meta-Llama-3-8B-Instruct × allenai_OLMo-3-7B-Instruct,bowl,false_deceive,0
Mistral-7B-Instruct-v0.2 × Meta-Llama-3-8B-Instruct,bowl,false_deceive,0
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,bowl,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,bowl,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen3-8B,bowl,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,bowl,false_deceive,0
Mistral-7B-Instruct-v0.2 × allenai_OLMo-3-7B-Instruct,bowl,false_deceive,0
Mistral-7B-Instruct-v0.3 × Meta-Llama-3-8B-Instruct,bowl,false_deceive,0
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.2,bowl,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,bowl,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen3-8B,bowl,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen_Qwen3-14B,bowl,false_deceive,0
Mistral-7B-Instruct-v0.3 × allenai_OLMo-3-7B-Instruct,bowl,false_deceive,0
Qwen2.5-7B-Instruct × Meta-Llama-3-8B-Instruct,bowl,false_deceive,0
Qwen2.5-7B-Instruct × Mistral-7B-Instruct-v0.2,bowl,false_deceive,0
Qwen2.5-7B-Instruct × Qwen3-8B,bowl,false_deceive,0
Qwen2.5-7B-Instruct × Qwen_Qwen3-14B,bowl,false_deceive,0
Qwen2.5-7B-Instruct × allenai_OLMo-3-7B-Instruct,bowl,false_deceive,0
allenai_OLMo-3-7B-Instruct × Meta-Llama-3-8B-Instruct,bowl,false_deceive,1
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.2,bowl,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.3,bowl,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen2.5-7B-Instruct,bowl,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen3-8B,bowl,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen_Qwen3-14B,bowl,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.2,broom,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.3,broom,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen2.5-7B-Instruct,broom,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen3-8B,broom,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.2,broom,false_deceive,1
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.3,broom,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,broom,false_deceive,1
Meta-Llama-3-8B-Instruct × Qwen3-8B,broom,false_deceive,0
Meta-Llama-3-8B-Instruct × allenai_OLMo-3-7B-Instruct,broom,false_deceive,1
Mistral-7B-Instruct-v0.2 × Meta-Llama-3-8B-Instruct,broom,false_deceive,0
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,broom,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,broom,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen3-8B,broom,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,broom,false_deceive,0
Mistral-7B-Instruct-v0.2 × allenai_OLMo-3-7B-Instruct,broom,false_deceive,0
Mistral-7B-Instruct-v0.3 × Meta-Llama-3-8B-Instruct,broom,false_deceive,0
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.2,broom,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,broom,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen3-8B,broom,false_deceive,0
